Количество собственников,Санузел,Класс энергоэффективности,Газ,Тип перекрытий,Ремонт,Цена,Перепланировка,Мусоропровод,Количество балконов,Площадь,Количество лифтов,Вид из окон,Этаж,Высота потолков,Год постройки,Балкон,Несовершеннолетние собственники,Количество подъездов,Детская площадка,Цена за квадрат,Количество этажей,Жилая,Лифт,Тип фундамента,Кухня,Ссылка,Комнат,Лет в собственности,Тип сделки,Прописано,Материал стен,Грузовой лифт,Количество квартир,Горячее водоснабжение,Серия дома,Прописанные несовершеннолетние
,,,нет,Железобетонный,,2915000₽,нет,,,"34,8 м2",,,6,,2022,нет,нет,,,83764₽/м²,17,15 м2,,,"6,2 м2",https://domclick.ru/card/sale__flat__1703772832,,,Переуступка,,Панельный,нет,423,Центральное,,нет
,Совмещенный,,есть,Железобетонный,,5100000₽,,,1,64 м2,1,,6,,1987,,,,,79687₽/м²,9,45 м2,есть,,,https://domclick.ru/card/sale__flat__2056535956,3,,Альтернатива,,Панельный,нет,,,97 (111-97),
1,Раздельный,,нет,Железобетонный,Без ремонта,3100000₽,нет,,,"36,9 м2",2,,2,,1986,нет,нет,,,84010₽/м²,14,18 м2,есть,,9 м2,https://domclick.ru/card/sale__flat__2057027698,1,,Свободная продажа,,Кирпичный,нет,,,Э-93,нет
,,,,,,4980000₽,,,1,62 м2,1,на улицу,13,2.8,2015,,,,,80322₽/м²,19,48 м2,есть,,14 м2,https://domclick.ru/card/sale__flat__2057599957,2,,Свободная продажа,,Панельный,,720,,744.0.01 панельный,
1,,,,,,5408540₽,нет,,,"53,5 м2",,,10,2.7,,нет,нет,,,101018₽/м²,15,14 м2,,,,https://domclick.ru/card/sale__flat__2056025122,2,Меньше трех,Свободная продажа,,,нет,,,,нет
,Раздельный,,есть,Железобетонный,Косметический,4630000₽,,,1,60 м2,,,3,,1971,,,,,77166₽/м²,5,,,Ленточный,,https://domclick.ru/card/sale__flat__2059557390,4,,Свободная продажа,,Панельный,нет,,,1-464А,
,Раздельный,,нет,,Косметический,1850000₽,нет,,,35 м2,,во двор,8,2.5,1983,нет,нет,,,52857₽/м²,9,26 м2,,,6 м2,https://domclick.ru/card/sale__flat__2058366061,2,,Свободная продажа,,Кирпичный,нет,,,,нет
,Раздельный,,есть,Железобетонный,Косметический,5350000₽,,,2,87 м2,1,"во двор, на улицу",4,,1995,,,,,61494₽/м²,10,,есть,Бетонные столбы,,https://domclick.ru/card/sale__flat__2058897832,4,,Свободная продажа,,Панельный,нет,,,,
1,Совмещенный,,есть,Железобетонный,Евро,3550000₽,нет,,1,47 м2,,,5,,1973,,нет,,,75531₽/м²,5,33 м2,,Ленточный,6 м2,https://domclick.ru/card/sale__flat__2059528654,3,Больше пяти,Свободная продажа,,Панельный,нет,,Закрытая с приготовлением горячей воды на ЦТП,,нет
,,,нет,Железобетонный,евроремонт,2699999₽,,,1,"30,4 м2",,на улицу,3,2.6,1973,,,,,88815₽/м²,5,,,Иной,"6,1 м2",https://domclick.ru/card/sale__flat__2057818037,1,,Свободная продажа,,Кирпичный,,,,87,
,Раздельный,,нет,,Без ремонта,4332240₽,нет,,1,60 м2,,"во двор, на улицу",5,,2022,,нет,,,72204₽/м²,17,28 м2,,,13 м2,https://domclick.ru/card/sale__flat__2059401395,2,Меньше трех,Переуступка,,Панельный,нет,,,,нет
,,,,Железобетонный,,2500000₽,,,1,"21,5 м2",1,,14,,2024,,,,,116279₽/м²,17,12 м2,,,3 м2,https://domclick.ru/card/sale__flat__2059307006,,,Свободная продажа,,Панельный,,,Центральное,,
,,,,Железобетонный,,4350000₽,,,1,"62,2 м2",,,12,2.75,2024,,,,,69935₽/м²,17,26 м2,,,13 м2,https://domclick.ru/card/sale__flat__2055820061,2,,Переуступка,,Панельный,,,Центральное,,
,Совмещенный,,есть,Железобетонный,Евро,3260000₽,нет,,,"30,2 м2",,во двор,2,,1975,нет,нет,,,107947₽/м²,5,16 м2,,Ленточный,6 м2,https://domclick.ru/card/sale__flat__2059189299,1,,Свободная продажа,,Панельный,нет,,,1-464А,нет
,,,,Железобетонный,Требует ремонта,3850000₽,,,1,57 м2,1,,3,2.7,2022,,,,,67543₽/м²,17,"29,4 м2",,,"9,8 м2",https://domclick.ru/card/sale__flat__1807504322,2,,Переуступка,,Панельный,,423,Центральное,,
,,,есть,Железобетонный,Отсутствует,4100000₽,,,1,"65,4 м2",,,4,,1979,,,,,62691₽/м²,9,,есть,,7 м2,https://domclick.ru/card/sale__flat__2055772818,3,,,,Панельный,,,,121,
1,Раздельный,,есть,Железобетонный,Косметический,3620000₽,нет,,1,"50,2 м2",1,на улицу,8,,1989,,нет,,,72111₽/м²,9,"29,7 м2",есть,Сборный,"7,8 м2",https://domclick.ru/card/sale__flat__2058196351,2,От трех до пяти,Свободная продажа,,Панельный,нет,,,,нет
,,,,,Требует ремонта,4000000₽,,,1,"39,2 м2",1,"во двор, на улицу",2,2.7,,,,,,102040₽/м²,4,"12,2 м2",,,"19,1 м2",https://domclick.ru/card/sale__flat__2056125293,2,,Свободная продажа,,Монолитный,,,,,
,,,,Железобетонный,евроремонт,3790000₽,,,,38 м2,1,на улицу,11,2.7,2017,нет,,,,99736₽/м²,19,21 м2,есть,,12 м2,https://domclick.ru/card/sale__flat__2058251907,1,,Свободная продажа,,Панельный,,,,1-панельный,
1,Совмещенный,,есть,Железобетонный,Косметический,4600000₽,нет,,2,60 м2,1,"во двор, на улицу, на парк",6,,1975,,нет,,,76666₽/м²,9,"37,4 м2",есть,,"7,4 м2",https://domclick.ru/card/sale__flat__2059029820,3,От трех до пяти,Альтернатива,2,Кирпичный,нет,,,1-447,нет
2,Раздельный,,есть,Железобетонный,Евро,3650000₽,,,1,52 м2,,во двор,1,2.7,1977,,,,,70192₽/м²,5,35 м2,,Ленточный,10 м2,https://domclick.ru/card/sale__flat__2056930663,2,Меньше трех,Свободная продажа,,Панельный,нет,,,111-90 (90),
,Совмещенный,,нет,Железобетонный,Косметический,2170000₽,нет,,1,22 м2,,во двор,5,,2022,,нет,,,98636₽/м²,14,10 м2,,,5 м2,https://domclick.ru/card/sale__flat__2058734417,,,Свободная продажа,,Панельный,нет,,Центральное,,нет
,,,нет,,Евро,8589000₽,,,2,96 м2,1,"во двор, на улицу",11,,2008,,,,,89468₽/м²,14,23 м2,есть,,16 м2,https://domclick.ru/card/sale__flat__2058340484,3,,Свободная продажа,,Кирпичный,,184,,II-01,
1,Совмещенный,,нет,Железобетонный,Косметический,2520000₽,,,,33 м2,1,на улицу,7,,1992,нет,,,,76363₽/м²,9,"18,6 м2",есть,,6 м2,https://domclick.ru/card/sale__flat__2057394355,2,От трех до пяти,Альтернатива,,Кирпичный,нет,,,114-86,
,Совмещенный,,есть,Железобетонный,Косметический,2599000₽,нет,,1,37 м2,,,4,,1991,,нет,,,70243₽/м²,10,19 м2,есть,,9 м2,https://domclick.ru/card/sale__flat__2057276264,1,,Свободная продажа,,Панельный,нет,179,,,нет
