Горячее водоснабжение,Тип перекрытий,Этаж,Год постройки,Количество балконов,Лифт,Количество этажей,Цена за квадрат,Количество собственников,Прописано,Кухня,Количество квартир,Материал стен,Ссылка,Несовершеннолетние собственники,Количество подъездов,Тип фундамента,Цена,Класс энергоэффективности,Тип сделки,Мусоропровод,Балкон,Ремонт,Комнат,Высота потолков,Лет в собственности,Газ,Количество лифтов,Район,Площадь,Перепланировка,Грузовой лифт,Детская площадка,Прописанные несовершеннолетние,Серия дома,Жилая,Санузел,Вид из окон
,Железобетонный,3,1972,,,5,60090₽/м²,,,"5,8 м2",90,Панельный,https://domclick.ru/card/sale__flat__2058251966,,,,2650000₽,,Свободная продажа,,нет,Требует ремонта,2,2.75,,есть,,дзержинский,"44,1 м2",,,,,1-464А,30 м2,,во двор
,Железобетонный,4,1972,1,,5,73803₽/м²,1,,6 м2,,Панельный,https://domclick.ru/card/sale__flat__1904017892,нет,,Ленточный,3299000₽,,Свободная продажа,,,Косметический,2,2.3,Больше пяти,есть,,дзержинский,"44,7 м2",нет,нет,,нет,а-литер,28 м2,Раздельный,"во двор, на улицу"
,,8,,1,,17,101306₽/м²,,,11 м2,,Панельный,https://domclick.ru/card/sale__flat__2059210355,,,,3799000₽,,Свободная продажа,,,,1,2.8,,,1,дзержинский,"37,5 м2",,,,,,"26,5 м2",,во двор
,,8,2016,1,есть,12,83750₽/м²,1,,12 м2,180,Панельный,https://domclick.ru/card/sale__flat__2057467336,нет,,,3350000₽,,Свободная продажа,,,Косметический,1,,Больше пяти,нет,3,дзержинский,40 м2,нет,есть,,нет,1-панельный,19 м2,Совмещенный,во двор
,,4,,,,15,101000₽/м²,,,"20,6 м2",,Кирпичный,https://domclick.ru/card/sale__flat__2058251975,,,,5922640₽,,Свободная продажа,,нет,Требует ремонта,3,3,,,1,дзержинский,"58,6 м2",,,,,,30 м2,,во двор
,Железобетонный,11,2019,1,есть,18,72792₽/м²,,,"9,9 м2",305,Панельный,https://domclick.ru/card/sale__flat__1884987230,,,,2654000₽,,Переуступка,,,,1,2.8,,,1,дзержинский,"36,5 м2",,,,,,"36,5 м2",,
Центральное,Железобетонный,12,2024,1,,17,86290₽/м²,,,"12,6 м2",,Панельный,https://domclick.ru/card/sale__flat__1909630698,,,,5350000₽,,,,,Евро,2,,,,,дзержинский,62 м2,,,,,,,,
Центральное,Железобетонный,17,2022,1,,17,77181₽/м²,,,10 м2,423,Панельный,https://domclick.ru/card/sale__flat__2057218237,,,,4600000₽,,Свободная продажа,,,Требует ремонта,2,,,нет,1,дзержинский,"59,6 м2",,,,,,"49,6 м2",,во двор
,Железобетонный,3,1988,1,есть,9,89812₽/м²,,,12 м2,,Панельный,https://domclick.ru/card/sale__flat__2059473522,,,,3350000₽,,Свободная продажа,,,Хороший,1,,,есть,,дзержинский,"37,3 м2",,,,,97 (111-97),18 м2,,во двор
Центральное,Железобетонный,15,2023,,,17,102339₽/м²,,,11 м2,204,Панельный,https://domclick.ru/card/sale__flat__2058251988,,,,3500000₽,,Свободная продажа,,нет,евроремонт,1,,,,1,дзержинский,"34,2 м2",,,,,,16 м2,,во двор
,Железобетонный,7,2023,1,,20,83750₽/м²,,,"9,8 м2",,Монолитный,https://domclick.ru/card/sale__flat__2056537037,,,,3350000₽,,Свободная продажа,,,,1,,,,,дзержинский,40 м2,,,,,,"21,4 м2",,
,,9,1975,1,,9,67175₽/м²,,,"7,4 м2",,Панельный,https://domclick.ru/card/sale__flat__2056656779,,,,4400000₽,,Свободная продажа,есть,,Косметический ремонт,3,,,есть,1,дзержинский,"65,5 м2",,,,,,"42,7 м2",,
,Железобетонный,6,1994,1,есть,9,86267₽/м²,,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__2058718970,нет,,Ленточный,2450000₽,,Свободная продажа,,,Косметический,1,,Меньше трех,есть,1,дзержинский,"28,4 м2",нет,нет,,нет,,16 м2,Совмещенный,
Центральное,Железобетонный,10,2024,1,,17,108333₽/м²,1,,12 м2,,Панельный,https://domclick.ru/card/sale__flat__2058905405,,,,6500000₽,,Свободная продажа,,,Дизайнерский,3,,Меньше трех,нет,2,дзержинский,60 м2,,есть,,,,40 м2,Совмещенный,во двор
,Железобетонный,4,1991,1,есть,10,70243₽/м²,,,9 м2,179,Панельный,https://domclick.ru/card/sale__flat__2057276264,нет,,,2599000₽,,Свободная продажа,,,Косметический,1,,,есть,,дзержинский,37 м2,нет,нет,,нет,,19 м2,Совмещенный,
Центральное,Железобетонный,16,2023,2,,17,79413₽/м²,,,"10,4 м2",102,Панельный,https://domclick.ru/card/sale__flat__2059268131,,,,3208305₽,,Переуступка,,,Требует ремонта,1,2.7,,,1,дзержинский,"40,4 м2",,,,,,"15,1 м2",,во двор
,,5,2023,2,,17,100000₽/м²,,,10 м2,,Панельный,https://domclick.ru/card/sale__flat__2059155440,,,,3600000₽,,Свободная продажа,,,евроремонт,1,,,,1,дзержинский,36 м2,,,,,,16 м2,,во двор
,,4,,,,17,93750₽/м²,,,"10,5 м2",,Панельный,https://domclick.ru/card/sale__flat__2059355059,,,,3750000₽,,Свободная продажа,,нет,,1,2.8,,,1,дзержинский,40 м2,,,,,,"17,5 м2",,
,,3,2007,1,,12,86131₽/м²,,,"10,4 м2",,Кирпичный,https://domclick.ru/card/sale__flat__2058043385,,,,5900000₽,,Свободная продажа,,,косметический,2,2.8,,нет,1,дзержинский,"68,5 м2",,,,,,40 м2,,"во двор, на улицу"
Центральное,Железобетонный,10,2022,1,,17,98465₽/м²,,,10 м2,148,Панельный,https://domclick.ru/card/sale__flat__2059257003,,,,3850000₽,,Свободная продажа,,,,1,2.8,,,1,дзержинский,"39,1 м2",,,,,,18 м2,,
,Железобетонный,10,2016,1,есть,19,87044₽/м²,3,,"11,5 м2",,Панельный,https://domclick.ru/card/sale__flat__2057601793,нет,,,6450000₽,,Свободная продажа,,,Косметический,3,2.7,Больше пяти,нет,2,дзержинский,"74,1 м2",нет,нет,,нет,1-панельный,"43,1 м2",Раздельный,"во двор, на улицу, на парк"
,Железобетонный,3,1988,,есть,9,62486₽/м²,,,5 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2057341085,,,Бетонные столбы,2080800₽,,Альтернатива,,нет,Отсутствует,1,,,,,дзержинский,"33,3 м2",,,,,,,,
,Железобетонный,8,1980,,есть,9,60000₽/м²,,,5 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2057697274,,,,1080000₽,,Свободная продажа,,нет,,1,,,есть,1,дзержинский,18 м2,,,,,v-кирпичный,,,
Центральное,Железобетонный,7,2023,,,17,91875₽/м²,,,13 м2,132,Панельный,https://domclick.ru/card/sale__flat__2057217560,нет,,,7350000₽,,Свободная продажа,,нет,Косметический,3,,,нет,,дзержинский,80 м2,нет,нет,,нет,,49 м2,Совмещенный,во двор
,Железобетонный,4,1973,1,,5,65196₽/м²,2,2,"5,5 м2",,Панельный,https://domclick.ru/card/sale__flat__2058657836,нет,,Ленточный,3990000₽,,Свободная продажа,,,Косметический,3,2.7,Больше пяти,есть,,дзержинский,"61,2 м2",нет,нет,,нет,1-панельный,45 м2,Совмещенный,"во двор, на улицу"
,,6,,,,15,97995₽/м²,1,,,,Монолитный,https://domclick.ru/card/sale__flat__2056028533,нет,,,7919000₽,,Свободная продажа,,нет,,3,2.7,Меньше трех,,,дзержинский,"80,8 м2",нет,нет,,нет,,64 м2,,
,Железобетонный,11,2008,,есть,12,88105₽/м²,,,12 м2,,Кирпичный,https://domclick.ru/card/sale__flat__1816456994,,,,6000000₽,,Свободная продажа,есть,нет,,2,,,нет,1,дзержинский,"68,1 м2",,нет,,,01-пз индивидуальный проект,50 м2,,
Центральное,Железобетонный,5,1973,,,5,57166₽/м²,,,6 м2,,Панельный,https://domclick.ru/card/sale__flat__2058251896,,6,,3490000₽,,Свободная продажа,,нет,косметический,3,2.7,,есть,,дзержинский,61 м2,,,,,,45 м2,,"во двор, на улицу"
Центральное,Железобетонный,4,2019,,есть,17,90303₽/м²,,,9 м2,,Панельный,https://domclick.ru/card/sale__flat__2059480999,,,,2980000₽,,Свободная продажа,,нет,Требует ремонта,1,2.7,,,1,дзержинский,33 м2,,,,,,17 м2,,во двор
Центральное,Железобетонный,15,2023,2,,17,98630₽/м²,1,,12 м2,102,Панельный,https://domclick.ru/card/sale__flat__2056767361,нет,,,7200000₽,,Свободная продажа,,,Дизайнерский,3,2.7,,нет,,дзержинский,73 м2,нет,нет,,нет,,50 м2,Раздельный,во двор
,Железобетонный,10,2020,1,есть,19,106060₽/м²,,,10 м2,136,Панельный,https://domclick.ru/card/sale__flat__2059248684,,,,4200000₽,,Свободная продажа,,,,1,2.7,,,1,дзержинский,"39,6 м2",,,,,,20 м2,,во двор
,Железобетонный,12,2012,3,есть,13,88164₽/м²,,,15 м2,110,Кирпичный,https://domclick.ru/card/sale__flat__2059307002,,,,13930000₽,,Свободная продажа,,,,5,,,,1,дзержинский,158 м2,,,,,,75 м2,,на улицу
,,1,2015,,есть,19,89914₽/м²,,,11 м2,720,Панельный,https://domclick.ru/card/sale__flat__2058671468,,,,4190000₽,,Свободная продажа,,нет,,1,,,,,дзержинский,"46,6 м2",,,,,744.0.01 панельный,17 м2,,во двор
Центральное,Железобетонный,5,2018,1,есть,12,73333₽/м²,,,8 м2,,Монолитный,https://domclick.ru/card/sale__flat__1543495025,,,,3300000₽,,,,,Евро,2,,,,,дзержинский,45 м2,,,,,,28 м2,,
,Железобетонный,3,1976,,,5,69354₽/м²,,,6 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2059306997,,,Ленточный,2150000₽,,Свободная продажа,,нет,,1,2.6,,есть,,дзержинский,31 м2,,,,,1-447,19 м2,,
Центральное,Железобетонный,10,2024,1,,17,104838₽/м²,,,17 м2,,Панельный,https://domclick.ru/card/sale__flat__2058886875,,,,6500000₽,,Свободная продажа,,,,2,,,,,дзержинский,62 м2,,,,,,,,
,Железобетонный,12,2019,1,есть,18,84677₽/м²,,,"12,4 м2",305,Панельный,https://domclick.ru/card/sale__flat__2057122123,,,,5250000₽,,Свободная продажа,,,евроремонт,2,2.7,,нет,1,дзержинский,62 м2,,,,,,,,"во двор, на улицу"
Центральное,Железобетонный,2,2023,1,,17,94250₽/м²,1,,"10,6 м2",132,Панельный,https://domclick.ru/card/sale__flat__2057915012,нет,,,3770000₽,,Свободная продажа,,,Дизайнерский,1,,,нет,3,дзержинский,40 м2,нет,есть,,нет,,"19,3 м2",Совмещенный,во двор
,Железобетонный,15,2019,1,есть,18,98571₽/м²,1,,3 м2,305,Панельный,https://domclick.ru/card/sale__flat__2059470080,нет,,,2070000₽,,Свободная продажа,,,Без ремонта,,,Меньше трех,нет,,дзержинский,21 м2,нет,нет,,нет,,11 м2,Совмещенный,во двор
,Железобетонный,1,1985,1,есть,9,96428₽/м²,,,7 м2,,Панельный,https://domclick.ru/card/sale__flat__1952155873,,,,2700000₽,,Свободная продажа,есть,,косметический,1,,,есть,1,дзержинский,28 м2,,,,,111-90 (90),12 м2,,во двор
,Железобетонный,4,1984,,есть,9,73170₽/м²,,,"10,4 м2",,Кирпичный,https://domclick.ru/card/sale__flat__2056904710,,,,3300000₽,,Свободная продажа,,нет,,2,,,,1,дзержинский,"45,1 м2",,,,,v-кирпичный,"22,8 м2",,на улицу
Центральное,Железобетонный,14,2018,1,есть,17,96578₽/м²,,,10 м2,,Монолитный,https://domclick.ru/card/sale__flat__2056599831,,,,3670000₽,,Свободная продажа,,,Дизайнерский,1,3,,,1,дзержинский,38 м2,,,,,,18 м2,,во двор
,Железобетонный,13,2013,1,есть,16,108064₽/м²,,,14 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2058132085,нет,,,6700000₽,,Свободная продажа,,,Косметический,2,,,нет,,дзержинский,62 м2,нет,нет,,нет,01-пз индивидуальный проект,48 м2,Совмещенный,во двор
Центральное,Железобетонный,11,2019,1,,17,89393₽/м²,,,10 м2,458,Панельный,https://domclick.ru/card/sale__flat__1916570621,,,,2950000₽,,,,,Косметический,1,,,,,дзержинский,33 м2,,,,,,,,
,Железобетонный,2,1977,,есть,9,96000₽/м²,,,"9,7 м2",,Панельный,https://domclick.ru/card/sale__flat__2058456500,,,,5622720₽,,Свободная продажа,,нет,Требует ремонта,2,,,есть,1,дзержинский,"58,6 м2",,,,,121,"27,7 м2",,во двор
,,4,2025,,,17,101000₽/м²,,,10 м2,,Кирпично-монолитный,https://domclick.ru/card/sale__flat__2059437991,,,,5915570₽,,Переуступка,,нет,Требует ремонта,3,2.8,,,1,дзержинский,"58,6 м2",,,,,,"43,1 м2",,во двор
Центральное,Железобетонный,12,2024,1,,17,80487₽/м²,,,13 м2,,Панельный,https://domclick.ru/card/sale__flat__2059294591,нет,,,3300000₽,,Свободная продажа,,,Без ремонта,2,2.7,Меньше трех,нет,2,дзержинский,41 м2,нет,нет,,нет,,13 м2,Совмещенный,во двор
Центральное,Железобетонный,12,2024,1,,17,69935₽/м²,,,13 м2,,Панельный,https://domclick.ru/card/sale__flat__2055820061,,,,4350000₽,,Переуступка,,,,2,2.75,,,,дзержинский,"62,2 м2",,,,,,26 м2,,
Центральное,Железобетонный,5,2022,1,,14,98636₽/м²,,,5 м2,,Панельный,https://domclick.ru/card/sale__flat__2058734417,нет,,,2170000₽,,Свободная продажа,,,Косметический,,,,нет,,дзержинский,22 м2,нет,нет,,нет,,10 м2,Совмещенный,во двор
Центральное,Железобетонный,11,2023,1,,17,74585₽/м²,,,12 м2,132,Панельный,https://domclick.ru/card/sale__flat__2058732784,нет,,,4475120₽,,Свободная продажа,,,Без ремонта,2,2.7,,нет,,дзержинский,60 м2,нет,нет,,нет,,30 м2,Совмещенный,во двор
,Железобетонный,1,1972,,,5,81005₽/м²,,,"3,2 м2",151,Кирпичный,https://domclick.ru/card/sale__flat__2059171212,,,,1450000₽,,Свободная продажа,,нет,Косметический,1,,,нет,,дзержинский,"17,9 м2",,нет,,,v-кирпичный,"12,8 м2",Совмещенный,во двор
,Железобетонный,9,2019,1,есть,17,83673₽/м²,,,"16,7 м2",481,Панельный,https://domclick.ru/card/sale__flat__2058511413,,,,5330000₽,,Свободная продажа,,,,3,,,,,дзержинский,"63,7 м2",,,,,,47 м2,,во двор
,Железобетонный,4,1975,,,5,110561₽/м²,1,2,6 м2,,Панельный,https://domclick.ru/card/sale__flat__2059189512,нет,,Ленточный,3350000₽,,Свободная продажа,,нет,Евро,1,,Больше пяти,есть,,дзержинский,"30,3 м2",нет,нет,,нет,1-464А,16 м2,Совмещенный,во двор
,Железобетонный,3,1971,1,,5,77166₽/м²,,,,,Панельный,https://domclick.ru/card/sale__flat__2059557390,,,Ленточный,4630000₽,,Свободная продажа,,,Косметический,4,,,есть,,дзержинский,60 м2,,нет,,,1-464А,,Раздельный,
,,3,2020,1,,17,102597₽/м²,,,19 м2,,Панельный,https://domclick.ru/card/sale__flat__2057643803,,,,3950000₽,,Свободная продажа,,,,1,,,,1,дзержинский,"38,5 м2",,,,,,10 м2,,во двор
Центральное,Железобетонный,17,2018,,есть,17,99833₽/м²,,,10 м2,,Монолитный,https://domclick.ru/card/sale__flat__2058359466,,,,5990000₽,,Свободная продажа,,нет,евроремонт,2,2.8,,,1,дзержинский,60 м2,,,,,,40 м2,,во двор
Центральное,Железобетонный,8,2024,,,17,78596₽/м²,,,19 м2,,Панельный,https://domclick.ru/card/sale__flat__2057543808,,,,4480000₽,,Переуступка,,нет,,3,,,нет,,дзержинский,57 м2,,нет,,,,"25,2 м2",,
,Железобетонный,12,2006,1,есть,12,83536₽/м²,,,12 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2059536253,,,,5480000₽,,Свободная продажа,,,Евро,2,,,нет,3,дзержинский,"65,6 м2",,есть,,,9323.3.00-32,,Раздельный,на улицу
,,8,,1,,17,93442₽/м²,,,"11,5 м2",,Панельный,https://domclick.ru/card/sale__flat__2049787594,,,,3420000₽,,,,,Евро,1,,,,,дзержинский,"36,6 м2",,,,,,,,
,Железобетонный,3,1985,1,есть,9,85758₽/м²,1,,"7,6 м2",,Панельный,https://domclick.ru/card/sale__flat__2059217940,,,,5600000₽,,Свободная продажа,,,Дизайнерский,3,2.5,Меньше трех,есть,1,дзержинский,"65,3 м2",,нет,,,1-ЛГ-602,45 м2,Раздельный,во двор
Центральное,Железобетонный,6,2022,,,17,83764₽/м²,,,"6,2 м2",423,Панельный,https://domclick.ru/card/sale__flat__1703772832,нет,,,2915000₽,,Переуступка,,нет,,,,,нет,,дзержинский,"34,8 м2",нет,нет,,нет,,15 м2,,
