Высота потолков,Тип сделки,Тип фундамента,Прописано,Количество квартир,Мусоропровод,Комнат,Ремонт,Количество этажей,Холодное водоснабжение,Санузел,Кухня,Газ,Вид из окон,Ссылка,Год постройки,Количество собственников,Грузовой лифт,Количество балконов,Количество лифтов,Серия дома,Жилая,Цена,Лифт,Цена за квадрат,Этаж,Горячее водоснабжение,Тип перекрытий,Площадь,Район,Лет в собственности,Балкон,Несовершеннолетние собственники,Материал стен,Прописанные несовершеннолетние,Перепланировка
,Свободная продажа,Ленточный,,,,2,Евро,5,,,"9,1 м2",есть,во двор,https://domclick.ru/card/sale__flat__2058349840,1971,,,1,,1-панельный,30 м2,3250000₽,,73529₽/м²,5,,Железобетонный,"44,2 м2",промышленный,,,,Панельный,,
2.8,Свободная продажа,,,509,,2,Без ремонта,17,,Раздельный,"13,4 м2",нет,во двор,https://domclick.ru/card/sale__flat__1703786109,2024,1,есть,1,3,,29 м2,3839550₽,есть,65000₽/м²,14,,Железобетонный,"59,1 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,Иной,,,,,Косметический,5,,Совмещенный,,нет,на улицу,https://domclick.ru/card/sale__flat__2059244099,1982,,нет,,,,17 м2,1100000₽,,55000₽/м²,4,Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,20 м2,промышленный,,нет,,Кирпичный,,
,Свободная продажа,,,115,,1,Требует ремонта,5,,,10 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058700763,1976,,,,,1-панельный,"20,6 м2",2720000₽,,72533₽/м²,4,,Железобетонный,"37,5 м2",промышленный,,нет,,Панельный,,
2.7,Альтернатива,,,,,3,Дизайнерский,12,,,"24,5 м2",,,https://domclick.ru/card/sale__flat__2058361150,2012,,,1,1,01-пз индивидуальный проект,"60,5 м2",8100000₽,есть,72776₽/м²,12,,Железобетонный,"111,3 м2",промышленный,,,,Кирпичный,,
,Свободная продажа,Ленточный,,,,1,,6,,,"7,8 м2",есть,во двор,https://domclick.ru/card/sale__flat__2059161377,1984,,,1,,v-кирпичный,"17,5 м2",3100000₽,,96273₽/м²,1,,Железобетонный,"32,2 м2",промышленный,,,,Кирпичный,,
,Свободная продажа,Ленточный,,,,2,косметический,5,,,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2057878270,1971,,,1,,1-панельный,33 м2,2700000₽,,61503₽/м²,2,,Железобетонный,"43,9 м2",промышленный,,,,Панельный,,
,Переуступка,,,720,,,Требует ремонта,24,,,"16,3 м2",,,https://domclick.ru/card/sale__flat__2057958113,2024,,,2,1,,25 м2,2961210₽,,71700₽/м²,16,,,"41,3 м2",промышленный,,,,,,
,Свободная продажа,,,90,,2,косметический,5,,,6 м2,есть,,https://domclick.ru/card/sale__flat__2059288535,1970,,,1,,1-панельный,30 м2,2590000₽,,57555₽/м²,4,,Железобетонный,45 м2,промышленный,,,,Панельный,,
,Переуступка,,,509,,1,,17,,,13 м2,,,https://domclick.ru/card/sale__flat__2057509681,2024,,,,,,16 м2,2670000₽,есть,72162₽/м²,17,,Железобетонный,37 м2,промышленный,,нет,,Панельный,,
2.7,Свободная продажа,,,,,,Без ремонта,24,,,,нет,во двор,https://domclick.ru/card/sale__flat__2055997433,2023,1,нет,1,2,,18 м2,2150000₽,,86000₽/м²,8,Центральное,Железобетонный,25 м2,промышленный,Меньше трех,,нет,Панельный,нет,нет
2.7,Свободная продажа,,,,,1,косметический,9,,,12 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059481000,2010,,,,1,а жилой дом,17 м2,5550000₽,,106730₽/м²,4,Центральное,Железобетонный,52 м2,промышленный,,нет,,Кирпичный,,
3,Альтернатива,,,,,2,Дизайнерский,12,,,13 м2,,,https://domclick.ru/card/sale__flat__2058517297,2012,,,2,1,01-пз индивидуальный проект,35 м2,6250000₽,есть,105396₽/м²,8,,Железобетонный,"59,3 м2",промышленный,,,,Кирпичный,,
,Переуступка,,,509,,2,,17,,Совмещенный,"12,4 м2",нет,,https://domclick.ru/card/sale__flat__1703834721,2024,,нет,1,1,,35 м2,3672000₽,есть,68000₽/м²,14,,Железобетонный,54 м2,промышленный,,,нет,Панельный,нет,нет
2.7,Переуступка,,,509,,2,Без ремонта,17,,Совмещенный,19 м2,нет,во двор,https://domclick.ru/card/sale__flat__1703790758,2024,1,есть,1,3,,14 м2,3283800₽,есть,78000₽/м²,24,,Железобетонный,"42,1 м2",промышленный,,,нет,Панельный,нет,нет
2.7,Свободная продажа,,,509,,,Требует ремонта,17,,,6 м2,,во двор,https://domclick.ru/card/sale__flat__2058700758,2024,,,,1,,20 м2,2107500₽,есть,82003₽/м²,17,,Железобетонный,"25,7 м2",промышленный,,нет,,Панельный,,
,Свободная продажа,,,,,1,Косметический,18,,Совмещенный,10 м2,нет,во двор,https://domclick.ru/card/sale__flat__2058274916,2023,,нет,1,,,20 м2,2750000₽,,79250₽/м²,8,,Железобетонный,"34,7 м2",промышленный,,,нет,Панельный,нет,нет
2.7,Свободная продажа,,,,,3,,17,,,10 м2,есть,,https://domclick.ru/card/sale__flat__1979122771,2017,,нет,,,,55 м2,6950000₽,есть,81764₽/м²,11,Центральное,Железобетонный,85 м2,промышленный,,нет,нет,Монолитный,нет,нет
2.7,Свободная продажа,Сплошной,1,,,,Дизайнерский,19,,Совмещенный,,нет,на улицу,https://domclick.ru/card/sale__flat__2058538216,2016,1,есть,1,2,,26 м2,2460000₽,есть,89454₽/м²,2,,Железобетонный,"27,5 м2",промышленный,Больше пяти,,нет,Панельный,нет,нет
,Свободная продажа,,,,,,Без ремонта,23,,Совмещенный,,нет,"на улицу, во двор",https://domclick.ru/card/sale__flat__2059555988,2024,1,нет,1,3,,17 м2,1950000₽,,78000₽/м²,20,,Железобетонный,25 м2,промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,Ленточный,,,,3,,5,,,9 м2,есть,,https://domclick.ru/card/sale__flat__1883002228,1970,,нет,,,,55 м2,3300000₽,,45833₽/м²,5,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Железобетонный,72 м2,промышленный,,нет,нет,Кирпичный,нет,нет
,Свободная продажа,,,,,1,Дизайнерский,24,,,"4,5 м2",,во двор,https://domclick.ru/card/sale__flat__2059561203,2023,,,,1,,"30,2 м2",3850000₽,,99226₽/м²,13,,Железобетонный,"38,8 м2",промышленный,,нет,,Панельный,,
2.7,Свободная продажа,,,509,,2,,17,,Раздельный,"11,7 м2",нет,,https://domclick.ru/card/sale__flat__1703786385,2024,1,есть,1,3,,30 м2,4077120₽,есть,62000₽/м²,7,,Железобетонный,"65,8 м2",промышленный,,,нет,Панельный,нет,нет
2.65,Свободная продажа,,,,,3,,9,,,8 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2058326589,1983,,,1,1,1-панельный,43 м2,5100000₽,есть,77272₽/м²,8,,Железобетонный,66 м2,промышленный,,,,Панельный,,
,Свободная продажа,Ленточный,,,,3,,5,,,6 м2,есть,,https://domclick.ru/card/sale__flat__2059055754,1972,,,1,,v-кирпичный,40 м2,3500000₽,,61511₽/м²,3,,Железобетонный,"56,9 м2",промышленный,,,,Кирпичный,,
2.4,Свободная продажа,Бетонные столбы,,,,2,Косметический,5,Центральное,Совмещенный,"5,5 м2",нет,на улицу,https://domclick.ru/card/sale__flat__2006180903,1965,1,нет,,,,"27,3 м2",2380000₽,,58333₽/м²,2,,Железобетонный,"40,8 м2",промышленный,Больше пяти,нет,нет,Кирпичный,нет,нет
2.75,Свободная продажа,,,,,1,Требует ремонта,11,,,"5,5 м2",нет,на улицу,https://domclick.ru/card/sale__flat__1960564981,,,,1,1,,"23,9 м2",3900000₽,,104222₽/м²,7,,,"37,4 м2",промышленный,,,,,,
2.8,Свободная продажа,Ленточный,,,,2,,2,Центральное,,7 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2058626933,1955,,,,,,30 м2,3399000₽,,67440₽/м²,1,,Деревянный,"50,4 м2",промышленный,,нет,,Блочный,,
,Свободная продажа,,,,,3,Косметический,10,,Раздельный,"6,5 м2",есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2056004655,1973,,нет,1,1,,48 м2,3280000₽,,59528₽/м²,9,,,"55,1 м2",промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,,,509,,3,,17,,,10 м2,,,https://domclick.ru/card/sale__flat__2057980942,2024,,,1,,,44 м2,4200000₽,есть,60000₽/м²,2,,Железобетонный,70 м2,промышленный,,,,Панельный,,
2.7,Свободная продажа,,,72,есть,2,евроремонт,9,,,9 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058251937,1988,,,,1,121,"29,8 м2",3950000₽,есть,74528₽/м²,1,,,53 м2,промышленный,,нет,,Панельный,,
,Свободная продажа,,,509,,2,Без ремонта,17,,Совмещенный,"15,3 м2",нет,,https://domclick.ru/card/sale__flat__2059260025,2024,,нет,1,1,,19 м2,3170000₽,есть,72045₽/м²,14,,Железобетонный,44 м2,промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,509,,,,17,,,,,,https://domclick.ru/card/sale__flat__2056537096,2024,,,1,,,20 м2,2050000₽,есть,82000₽/м²,6,,Железобетонный,25 м2,промышленный,,,,Панельный,,
,Свободная продажа,Иной,,,,1,Косметический,9,,,10 м2,нет,во двор,https://domclick.ru/card/sale__flat__2057651145,1982,,нет,,1,,15 м2,1750000₽,есть,51470₽/м²,7,,Железобетонный,34 м2,промышленный,,нет,,Кирпичный,,
,,,,,,1,Отсутствует,9,,,"8,5 м2",есть,,https://domclick.ru/card/sale__flat__2057832075,2019,,,1,,,"17,6 м2",2250000₽,,62500₽/м²,9,Центральное,Железобетонный,36 м2,промышленный,,,,Кирпичный,,
3,Свободная продажа,,,,,1,Дизайнерский,2,,Совмещенный,"2,4 м2",нет,во двор,https://domclick.ru/card/sale__flat__2059409165,1936,1,нет,,,,"17,1 м2",950000₽,,48717₽/м²,1,Центральное,Деревянный,"19,5 м2",промышленный,Меньше трех,нет,нет,Кирпичный,нет,нет
2.7,Свободная продажа,,,,,4,Косметический,1,,Раздельный,12 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059283477,1975,2,нет,,,,55 м2,5200000₽,,47272₽/м²,1,,,110 м2,промышленный,Меньше трех,нет,нет,Кирпичный,нет,нет
2.8,Свободная продажа,,,,,1,косметический,12,,,10 м2,,на улицу,https://domclick.ru/card/sale__flat__1734653220,2012,,,1,1,01-пз индивидуальный проект,"25,8 м2",3950000₽,есть,93380₽/м²,6,,Железобетонный,"42,3 м2",промышленный,,,,Кирпичный,,
,Свободная продажа,,,,есть,2,косметический,9,,,8 м2,есть,во двор,https://domclick.ru/card/sale__flat__2059267235,1989,,,1,1,121,31 м2,3290000₽,есть,61726₽/м²,7,,Железобетонный,"53,3 м2",промышленный,,,,Панельный,,
2.7,Свободная продажа,,1,203,,1,Евро,19,,Совмещенный,"9,3 м2",нет,на улицу,https://domclick.ru/card/sale__flat__2059077903,2019,1,есть,1,3,,"15,5 м2",3880000₽,есть,109604₽/м²,9,,Смешанный,"35,4 м2",промышленный,От трех до пяти,,нет,Панельный,нет,нет
2.7,Свободная продажа,,,,,4,косметический,9,,,10 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2056433017,1998,,,1,1,v-кирпичный,"64,3 м2",4700000₽,есть,63257₽/м²,1,,Железобетонный,"74,3 м2",промышленный,,,,Кирпичный,,
2.5,Свободная продажа,Сборный,,,,4,Евро,5,,Совмещенный,9 м2,есть,во двор,https://domclick.ru/card/sale__flat__2059553469,1975,,нет,1,,1-панельный,"44,4 м2",4700000₽,,77429₽/м²,4,,Железобетонный,"60,7 м2",промышленный,,,нет,Железобетон,нет,нет
2.5,,,,,,4,косметический,5,Центральное,,8 м2,есть,на улицу,https://domclick.ru/card/sale__flat__1873089273,1969,,,1,,,"45,4 м2",3000000₽,,49180₽/м²,5,Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,61 м2,промышленный,,,,Кирпичный,,
,Свободная продажа,,,,,1,,24,,,"13,2 м2",,на улицу,https://domclick.ru/card/sale__flat__2057766535,2023,,,,1,,"15,1 м2",3149000₽,,85570₽/м²,2,,Железобетонный,"36,8 м2",промышленный,,нет,,Панельный,,
,Свободная продажа,Ленточный,,,,2,Требует ремонта,3,Центральное,,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2056778525,1959,,,1,,,32 м2,2180000₽,,45606₽/м²,2,,Деревянный,"47,8 м2",промышленный,,,,Кирпичный,,
,Свободная продажа,Ленточный,,,,3,Косметический,5,,Раздельный,7 м2,есть,во двор,https://domclick.ru/card/sale__flat__2057438851,1970,,нет,,,1-панельный,53 м2,3399000₽,,56650₽/м²,4,,Железобетонный,60 м2,промышленный,,нет,,Кирпичный,,
,Свободная продажа,,,509,,3,,17,,,13 м2,нет,,https://domclick.ru/card/sale__flat__1703811089,2024,,нет,,1,,56 м2,4219800₽,есть,60000₽/м²,5,,Железобетонный,"70,3 м2",промышленный,,нет,нет,Панельный,нет,нет
2.7,Переуступка,,,509,,1,,17,,,14 м2,,,https://domclick.ru/card/sale__flat__2004623372,2024,,,1,1,,19 м2,2966040₽,есть,68977₽/м²,9,,Железобетонный,43 м2,промышленный,,,,Панельный,,
3,Свободная продажа,,1,,,2,Дизайнерский,5,,Совмещенный,9 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059204957,2010,1,есть,,1,,36 м2,5200000₽,,90277₽/м²,2,Центральное,Железобетонный,"57,6 м2",промышленный,Больше пяти,нет,,Кирпичный,,
,Свободная продажа,Иной,,,,1,,4,,,,нет,,https://domclick.ru/card/sale__flat__2058942663,1961,,нет,,,v-кирпичный,,1400000₽,,87500₽/м²,3,,Железобетонный,16 м2,промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,,,509,,1,Дизайнерский,17,,Совмещенный,10 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059027727,2024,1,нет,1,1,,20 м2,3450000₽,есть,87341₽/м²,13,,Железобетонный,"39,5 м2",промышленный,Меньше трех,,нет,Панельный,нет,нет
,Свободная продажа,Ленточный,,76,,2,Косметический,5,,Совмещенный,6 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058243180,1975,,нет,1,,,"28,4 м2",2150000₽,,50707₽/м²,3,,Железобетонный,"42,4 м2",промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,,,,,,,18,,,5 м2,,,https://domclick.ru/card/sale__flat__2059491347,2023,,,,,,"13,9 м2",2400000₽,,88888₽/м²,11,,Железобетонный,27 м2,промышленный,,нет,,Панельный,,
,Свободная продажа,Ленточный,,64,,2,,5,,,10 м2,есть,,https://domclick.ru/card/sale__flat__2058432468,1964,,,,,,30 м2,2490000₽,,57906₽/м²,5,,Железобетонный,43 м2,промышленный,,нет,,Кирпичный,,
3,Свободная продажа,,,,,2,Дизайнерский,19,,Раздельный,13 м2,нет,"во двор, на парк",https://domclick.ru/card/sale__flat__1907291475,2017,2,есть,1,2,II-29,40 м2,4750000₽,есть,78125₽/м²,12,,Железобетонный,"60,8 м2",промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,,,,есть,2,косметический,9,,,8 м2,есть,,https://domclick.ru/card/sale__flat__2056163494,1989,,,1,1,1-панельный,35 м2,3400000₽,есть,62962₽/м²,2,,Железобетонный,54 м2,промышленный,,,,Панельный,,
,Свободная продажа,,,,,,Требует ремонта,23,,,"9,6 м2",,во двор,https://domclick.ru/card/sale__flat__2058251900,2024,,,,1,,13 м2,1900000₽,,76923₽/м²,9,,Железобетонный,"24,7 м2",промышленный,,нет,,Панельный,,
2.7,Свободная продажа,,,509,,1,евроремонт,17,,,"12,2 м2",,во двор,https://domclick.ru/card/sale__flat__2056545413,2024,,,1,1,,"19,8 м2",3550000₽,есть,80681₽/м²,8,,Железобетонный,44 м2,промышленный,,,,Панельный,,
3,Свободная продажа,Ленточный,,,,3,,2,Центральное,,7 м2,есть,,https://domclick.ru/card/sale__flat__2055470660,1917,,нет,,,,25 м2,2200000₽,,54726₽/м²,1,,Деревянный,"40,2 м2",промышленный,,нет,нет,Кирпичный,нет,нет
,Свободная продажа,,,,,1,Без ремонта,24,,Совмещенный,9 м2,нет,во двор,https://domclick.ru/card/sale__flat__2058663061,2023,1,нет,1,,,15 м2,2670000₽,,76724₽/м²,6,,Железобетонный,"34,8 м2",промышленный,Меньше трех,,нет,Панельный,нет,нет
2.7,Свободная продажа,Ленточный,,,,,Евро,15,,Совмещенный,,нет,на улицу,https://domclick.ru/card/sale__flat__2056598399,2018,,нет,1,1,,"20,8 м2",2350000₽,есть,102173₽/м²,6,,Железобетонный,23 м2,промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,,,2,,24,,,"12,5 м2",нет,,https://domclick.ru/card/sale__flat__2057095370,2023,,нет,,,,30 м2,4850000₽,,91509₽/м²,7,,Железобетонный,53 м2,промышленный,,нет,,Панельный,,
2.7,Свободная продажа,,,509,,1,Без ремонта,17,,Совмещенный,"12,2 м2",нет,во двор,https://domclick.ru/card/sale__flat__1703785259,2024,1,есть,1,3,,19 м2,2837520₽,есть,72018₽/м²,11,,Железобетонный,"39,4 м2",промышленный,,,нет,Панельный,нет,нет
2.6,Свободная продажа,Ленточный,,,,3,евроремонт,5,,,7 м2,есть,,https://domclick.ru/card/sale__flat__2008213583,1961,,,1,,v-кирпичный,28 м2,3000000₽,,72815₽/м²,5,,Железобетонный,"41,2 м2",промышленный,,,,Кирпичный,,
,Свободная продажа,,,,,3,Косметический ремонт,2,,,15 м2,,,https://domclick.ru/card/sale__flat__1863142834,,,,,,,50 м2,3450000₽,,35603₽/м²,1,,,"96,9 м2",промышленный,,нет,,Деревянный,,
,Свободная продажа,,,,,1,Евро,17,,Совмещенный,"11,2 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2058849518,2017,1,есть,1,3,,"16,3 м2",3570000₽,есть,107854₽/м²,12,Центральное,Железобетонный,"33,1 м2",промышленный,Больше пяти,,нет,Монолитный,нет,нет
,Свободная продажа,,,219,,,,19,,,5 м2,,,https://domclick.ru/card/sale__flat__2058886877,2022,,,,,,14 м2,2430000₽,есть,86785₽/м²,16,,Железобетонный,28 м2,промышленный,,нет,,Панельный,,
2.64,Свободная продажа,,,,,2,косметический,23,,,5 м2,нет,во двор,https://domclick.ru/card/sale__flat__2056480120,2024,,,1,1,,"24,8 м2",3170000₽,,65904₽/м²,16,,Железобетонный,"48,1 м2",промышленный,,,,Панельный,,
,Свободная продажа,,,90,,2,Косметический,5,,Раздельный,,есть,во двор,https://domclick.ru/card/sale__flat__2059453408,1970,,нет,,,1-панельный,22 м2,2200000₽,,71428₽/м²,3,,Железобетонный,"30,8 м2",промышленный,,нет,нет,Панельный,нет,нет
2.6,Свободная продажа,Ленточный,,,,1,Косметический,5,,Совмещенный,"5,5 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2058945432,1968,,нет,,,1-447,16 м2,2430000₽,,84083₽/м²,1,,Железобетонный,"28,9 м2",промышленный,,нет,,Кирпичный,,
,Свободная продажа,,,,,,Косметический,19,,Совмещенный,5 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2059491227,2017,,есть,1,2,1-панельный,16 м2,2750000₽,есть,126728₽/м²,15,,Железобетонный,"21,7 м2",промышленный,,,,Панельный,,
,Свободная продажа,Ленточный,,,,2,Косметический,5,Центральное,Совмещенный,"5,5 м2",есть,во двор,https://domclick.ru/card/sale__flat__2059226114,1970,,нет,1,,,30 м2,2899000₽,,72656₽/м²,3,,Железобетонный,"39,9 м2",промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,,,,,1,Без ремонта,9,,Совмещенный,14 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059231329,2019,1,нет,1,,,18 м2,2500000₽,,56818₽/м²,1,Центральное,Железобетонный,44 м2,промышленный,От трех до пяти,,нет,Кирпичный,нет,нет
2.8,Свободная продажа,Иной,,,,4,Дизайнерский,4,,Раздельный,"26,6 м2",есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2055959214,2003,1,нет,1,,01-пз индивидуальный проект,73 м2,13350000₽,,104541₽/м²,3,,Железобетонный,"127,7 м2",промышленный,Больше пяти,,нет,Кирпичный,нет,нет
,Свободная продажа,Ленточный,,,,1,,4,Центральное,,"10,7 м2",есть,,https://domclick.ru/card/sale__flat__1936067416,1963,,нет,,,,"14,9 м2",2200000₽,,63583₽/м²,1,,Железобетонный,"34,6 м2",промышленный,,нет,нет,Кирпичный,нет,нет
2.7,Свободная продажа,,,509,,3,Без ремонта,17,,Совмещенный,"14,5 м2",нет,во двор,https://domclick.ru/card/sale__flat__1703787579,2024,1,нет,1,2,,55 м2,4220000₽,есть,60002₽/м²,4,,Железобетонный,"70,3 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,,,2,Евро,19,,Совмещенный,11 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058276942,2017,1,нет,,,1-панельный,40 м2,5999000₽,есть,83319₽/м²,12,,Железобетонный,72 м2,промышленный,Больше пяти,нет,нет,Панельный,нет,нет
,Свободная продажа,Ленточный,,,,2,,3,,,8 м2,есть,,https://domclick.ru/card/sale__flat__2058312110,1958,,,,,,28 м2,3199000₽,,61519₽/м²,2,Квартирное (квартирный котел),Железобетонный,52 м2,промышленный,,нет,,Панельный,,
,Свободная продажа,,,,,1,Требует ремонта,2,,,12 м2,,во двор,https://domclick.ru/card/sale__flat__2059280676,2025,,,,,,30 м2,2800000₽,,56000₽/м²,2,,,50 м2,промышленный,,нет,,Монолитный,,
,Свободная продажа,,,160,,3,косметический,10,,,9 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2057722662,1998,,,1,1,1-панельный,40 м2,4500000₽,есть,69230₽/м²,6,,,65 м2,промышленный,,,,Панельный,,
,Свободная продажа,,,509,,2,,17,,,"12,6 м2",нет,,https://domclick.ru/card/sale__flat__1703787556,2024,,нет,,1,,23 м2,3869450₽,есть,65032₽/м²,6,,Железобетонный,"59,5 м2",промышленный,,нет,нет,Панельный,нет,нет
,Свободная продажа,,,,,,Косметический,5,,Совмещенный,5 м2,есть,во двор,https://domclick.ru/card/sale__flat__2059437855,1980,,нет,1,,,"18,2 м2",2650000₽,,80792₽/м²,3,,,"32,8 м2",промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,Ленточный,,,,1,Косметический,9,,Совмещенный,6 м2,есть,во двор,https://domclick.ru/card/sale__flat__2059558927,1982,,нет,1,1,,18 м2,2190000₽,есть,75517₽/м²,9,,Железобетонный,29 м2,промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,Сборный,,,,1,,5,Центральное,,7 м2,есть,,https://domclick.ru/card/sale__flat__2058155622,1987,,нет,,,,14 м2,2050000₽,,73214₽/м²,4,,Железобетонный,28 м2,промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,Ленточный,,,,1,Косметический,3,,Совмещенный,10 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058825929,2013,1,нет,,,"14/14, индивидуальный",19 м2,2050000₽,,58571₽/м²,3,,Железобетонный,35 м2,промышленный,Больше пяти,нет,нет,Блочный,нет,нет
2.5,Свободная продажа,Иной,,,,,косметический,5,,,2 м2,,во двор,https://domclick.ru/card/sale__flat__2058938043,1982,,,,,,"21,9 м2",1170000₽,,48750₽/м²,5,Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,24 м2,промышленный,,нет,,Кирпичный,,
,Свободная продажа,Ленточный,2,,,2,Евро,5,,Совмещенный,"5,5 м2",есть,во двор,https://domclick.ru/card/sale__flat__2059076145,1964,1,нет,1,,1-панельный,"31,6 м2",3120000₽,,69487₽/м²,2,,Железобетонный,"44,9 м2",промышленный,От трех до пяти,,нет,Панельный,нет,нет
2.7,Свободная продажа,Ленточный,,,,2,,2,,,"7,3 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2059307004,1959,,,,,v-кирпичный,32 м2,3670000₽,,72962₽/м²,3,,Деревянный,"50,3 м2",промышленный,,нет,,Кирпичный,,
,Свободная продажа,Ленточный,,,,2,Евро,9,,Раздельный,7 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2059527467,1983,1,нет,1,1,,22 м2,3700000₽,есть,83146₽/м²,4,,Железобетонный,"44,5 м2",промышленный,Меньше трех,,нет,Кирпичный,нет,нет
2.7,Свободная продажа,,,,,1,Требует ремонта,3,,,"12,4 м2",есть,во двор,https://domclick.ru/card/sale__flat__1891161881,2020,,,1,,,"21,3 м2",2909600₽,,66277₽/м²,3,Центральное,Железобетонный,"43,9 м2",промышленный,,,,Блочный,,
2.8,Свободная продажа,Ленточный,,,,1,косметический,2,,,5 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2058787055,1949,,,,,II-14,"14,2 м2",1399000₽,,46633₽/м²,2,,Деревянный,30 м2,промышленный,,нет,,Кирпичный,,
,Свободная продажа,,,,,1,Евро,9,,Совмещенный,,есть,на улицу,https://domclick.ru/card/sale__flat__2056737941,1973,1,нет,1,1,,18 м2,2890000₽,,87575₽/м²,9,,,33 м2,промышленный,,,нет,Кирпичный,нет,нет
,,,,509,,1,Отсутствует,17,,,12 м2,,,https://domclick.ru/card/sale__flat__1961024210,2024,,,1,,,19 м2,2799000₽,есть,70503₽/м²,5,,Железобетонный,"39,7 м2",промышленный,,,,Панельный,,
,Свободная продажа,,,87,,2,Без ремонта,5,,Раздельный,10 м2,есть,во двор,https://domclick.ru/card/sale__flat__2056833938,1979,1,нет,1,,111-90 (90),23 м2,3200000₽,,60377₽/м²,5,,Железобетонный,53 м2,промышленный,Больше пяти,,нет,Панельный,нет,нет
,Свободная продажа,,,509,,1,Без ремонта,17,,Совмещенный,"12,2 м2",нет,,https://domclick.ru/card/sale__flat__2059259996,2024,,нет,1,1,,19 м2,2830000₽,есть,71809₽/м²,11,,Железобетонный,"39,4 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,59,,3,,5,,,6 м2,есть,,https://domclick.ru/card/sale__flat__2056944068,1978,,,,,1-панельный,48 м2,3600000₽,,58064₽/м²,4,,Железобетонный,62 м2,промышленный,,нет,,Панельный,,
,Свободная продажа,,,287,есть,2,Косметический,9,,Раздельный,8 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2059541443,1983,1,нет,1,1,121,30 м2,3700000₽,есть,74297₽/м²,1,,,"49,8 м2",промышленный,,,нет,Панельный,нет,нет
2.5,Свободная продажа,,1,64,,1,Косметический,5,,Совмещенный,5 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2057909897,1963,1,нет,1,,v-кирпичный,18 м2,2450000₽,,84482₽/м²,3,,Железобетонный,29 м2,промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,Ленточный,,,,1,Косметический,5,,Совмещенный,6 м2,есть,во двор,https://domclick.ru/card/sale__flat__2056469664,1965,,нет,1,,v-кирпичный,18 м2,1980000₽,,66000₽/м²,4,,Железобетонный,30 м2,промышленный,,,нет,Кирпичный,нет,нет
2.7,Свободная продажа,,,,,2,,5,,,6 м2,,на улицу,https://domclick.ru/card/sale__flat__2059307009,,,,,,,33 м2,3500000₽,,73529₽/м²,2,,,"47,6 м2",промышленный,,нет,,Панельный,,
2.5,Свободная продажа,Ленточный,,,,1,Косметический,6,,Совмещенный,"5,6 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2059248617,1972,1,нет,1,,1-панельный,"19,7 м2",2350000₽,,77814₽/м²,4,,Железобетонный,"30,2 м2",промышленный,,,нет,Панельный,нет,нет
