Высота потолков,Тип сделки,Тип фундамента,Прописано,Количество квартир,Мусоропровод,Комнат,Ремонт,Количество этажей,Холодное водоснабжение,Санузел,Кухня,Газ,Вид из окон,Ссылка,Год постройки,Количество собственников,Грузовой лифт,Количество балконов,Количество лифтов,Серия дома,Жилая,Цена,Лифт,Цена за квадрат,Этаж,Горячее водоснабжение,Тип перекрытий,Площадь,Район,Лет в собственности,Балкон,Несовершеннолетние собственники,Материал стен,Прописанные несовершеннолетние,Перепланировка
,Свободная продажа,,1,,,1,Косметический,6,,Раздельный,2 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059488956,1975,1,нет,,,,28 м2,1600000₽,,53333₽/м²,5,Центральное,Железобетонный,30 м2,промышленный,Меньше трех,нет,нет,Монолитный,нет,нет
,Свободная продажа,Ленточный,,,,2,Косметический,5,,Совмещенный,7 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2057681182,1963,3,нет,1,,v-кирпичный,28 м2,2236000₽,,49910₽/м²,5,,Железобетонный,"44,8 м2",промышленный,Больше пяти,,есть,Кирпичный,нет,нет
,Свободная продажа,Ленточный,,,,3,Требует ремонта,3,,,9 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2058365709,1959,,,,,v-кирпичный,51 м2,5150000₽,,70163₽/м²,1,,Железобетонный,"73,4 м2",промышленный,,нет,,Кирпичный,,
,Свободная продажа,,,,,1,Евро,5,,Раздельный,6 м2,есть,,https://domclick.ru/card/sale__flat__2059528494,1967,1,нет,1,,,18 м2,2030000₽,,65483₽/м²,5,Центральное,Железобетонный,31 м2,промышленный,Больше пяти,,нет,Кирпичный,нет,нет
,Свободная продажа,Сплошной,,,,2,Дизайнерский,12,,,10 м2,нет,во двор,https://domclick.ru/card/sale__flat__2057162511,2015,,,1,1,,36 м2,5650000₽,есть,99122₽/м²,8,,Железобетонный,57 м2,промышленный,,,,Кирпичный,,
,Свободная продажа,,,360,,1,Евро,17,,Совмещенный,,нет,на улицу,https://domclick.ru/card/sale__flat__2059577773,2014,1,есть,1,3,067-00-00,20 м2,3890000₽,есть,109577₽/м²,17,,,"35,5 м2",промышленный,,,,Кирпичный,,
2.8,Свободная продажа,,1,136,есть,1,Дизайнерский,10,,Совмещенный,"12,5 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2059400694,2006,1,нет,1,1,01-пз индивидуальный проект,"19,2 м2",4400000₽,есть,97130₽/м²,2,,,"45,3 м2",промышленный,Больше пяти,,,Кирпичный,,
,Свободная продажа,,,,,,Косметический,18,,Совмещенный,5 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059113151,2023,1,нет,,,,14 м2,2150000₽,,79629₽/м²,3,,Железобетонный,27 м2,промышленный,Меньше трех,нет,нет,Панельный,нет,нет
,Свободная продажа,,,,,3,Требует ремонта,4,,,"16,3 м2",,"во двор, на улицу",https://domclick.ru/card/sale__flat__2058456509,2024,,,,,,43 м2,5090000₽,,66797₽/м²,4,,,"76,2 м2",промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,,,,,1,Требует ремонта,9,,,10 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058285144,1996,,,,1,v-кирпичный,20 м2,2900000₽,есть,71960₽/м²,2,,Железобетонный,"40,3 м2",промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,,,,,3,Без ремонта,24,,Более одного,"14,8 м2",нет,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059143966,2023,,есть,1,4,,"47,1 м2",4895400₽,,61500₽/м²,14,,Железобетонный,"79,6 м2",промышленный,,,нет,Панельный,нет,нет
3,Свободная продажа,,,,,1,,1,,,12 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058255785,1902,,,,,,"14,8 м2",1250000₽,,40453₽/м²,1,Газовая колонка,Железобетонный,"30,9 м2",промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,,,356,,1,Дизайнерский,17,,Совмещенный,6 м2,нет,"во двор, на парк",https://domclick.ru/card/sale__flat__2058792773,2019,1,есть,1,3,,22 м2,4099999₽,,123493₽/м²,13,Центральное,Железобетонный,"33,2 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,115,,2,косметический,5,,,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059280675,1976,,,,,1-панельный,30 м2,2650000₽,,60227₽/м²,4,,Железобетонный,44 м2,промышленный,,нет,,Панельный,,
,Свободная продажа,Ленточный,,,,2,,5,,,6 м2,есть,,https://domclick.ru/card/sale__flat__1903828832,1963,,,1,,1-панельный,30 м2,2349999₽,,57038₽/м²,4,,Железобетонный,"41,2 м2",промышленный,,,,Панельный,,
2.5,Свободная продажа,Бетонные столбы,,141,,1,Косметический,5,,Совмещенный,6 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2058994340,1992,,нет,1,,,18 м2,2300000₽,,74193₽/м²,3,,Железобетонный,31 м2,промышленный,,,нет,Кирпичный,нет,нет
2.7,Свободная продажа,,,,,,Требует ремонта,24,,,5 м2,,во двор,https://domclick.ru/card/sale__flat__2056573172,2024,,,1,1,,"9,5 м2",1710000₽,,69230₽/м²,14,Центральное,Железобетонный,"24,7 м2",промышленный,,,,Панельный,,
,Свободная продажа,,,108,,1,Евро,9,,Совмещенный,"9,2 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2059371213,1983,1,нет,1,1,121,"19,2 м2",3800000₽,есть,101604₽/м²,7,,,"37,4 м2",промышленный,От трех до пяти,,нет,Панельный,нет,нет
,Свободная продажа,,,,,1,Без ремонта,2,,Совмещенный,2 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059407654,1936,1,нет,,,,"8,2 м2",500000₽,,46296₽/м²,1,Центральное,Деревянный,"10,8 м2",промышленный,Меньше трех,нет,нет,Кирпичный,нет,нет
,Свободная продажа,Ленточный,,,,2,,6,,,7 м2,есть,,https://domclick.ru/card/sale__flat__2058777342,1984,,,1,,1-панельный,"30,3 м2",2300000₽,,52036₽/м²,3,,Железобетонный,"44,2 м2",промышленный,,,,Панельный,,
