Материал стен,Санузел,Площадь,Класс энергоэффективности,Высота потолков,Цена за квадрат,Количество балконов,Ремонт,Комнат,Вид из окон,Этаж,Лифт,Кухня,Год постройки,Район,Газ,Прописано,Жилая,Ссылка,Серия дома,Мусоропровод,Прописанные несовершеннолетние,Несовершеннолетние собственники,Холодное водоснабжение,Перепланировка,Тип фундамента,Грузовой лифт,Количество собственников,Количество квартир,Лет в собственности,Балкон,Тип сделки,Тип перекрытий,Количество этажей,Количество лифтов,Цена,Горячее водоснабжение
Кирпичный,Совмещенный,31 м2,,2.5,74193₽/м²,1,Косметический,1,во двор,3,,6 м2,1964,центральный,есть,,18 м2,https://domclick.ru/card/sale__flat__2059046014,,,нет,нет,,нет,Ленточный,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,5,,2300000₽,Квартирное (квартирный котел)
Кирпичный,,30 м2,,,77666₽/м²,1,,1,на улицу,5,,6 м2,1974,центральный,есть,,16 м2,https://domclick.ru/card/sale__flat__1920055394,v-кирпичный,,,,,,Бетонные столбы,,,,,,Свободная продажа,Железобетонный,5,,2330000₽,
Кирпичный,,"31,3 м2",,,86261₽/м²,1,Косметический,1,,2,,6 м2,1964,центральный,есть,,,https://domclick.ru/card/sale__flat__1902875549,,,,,,,Иной,,,,,,,Железобетонный,5,,2700000₽,Закрытая с приготовлением горячей воды на ЦТП
Кирпичный,,45 м2,,,79777₽/м²,,,2,,2,,8 м2,1984,центральный,есть,,25 м2,https://domclick.ru/card/sale__flat__2057104603,,,,,,,Иной,,,,,нет,Свободная продажа,Деревянный,2,,3590000₽,Квартирное (квартирный котел)
Кирпичный,,"42,6 м2",,,55164₽/м²,1,Требует ремонта,3,во двор,3,,6 м2,1963,центральный,есть,,34 м2,https://domclick.ru/card/sale__flat__2059092703,1-447,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,4,,2350000₽,
Кирпичный,Совмещенный,"29,8 м2",,2.5,63758₽/м²,1,Без ремонта,1,во двор,5,,"6,6 м2",1967,центральный,есть,,16 м2,https://domclick.ru/card/sale__flat__2058974682,1-447,,нет,нет,,нет,Ленточный,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,5,,1900000₽,
Кирпичный,,"45,1 м2",,,90909₽/м²,1,косметический,2,на улицу,3,,6 м2,1966,центральный,есть,,32 м2,https://domclick.ru/card/sale__flat__2058199538,II-14,,,,,,,,,80,,,Свободная продажа,Железобетонный,5,,4100000₽,
,Совмещенный,"30,5 м2",,,80327₽/м²,,Косметический,1,,1,,10 м2,2014,центральный,нет,,15 м2,https://domclick.ru/card/sale__flat__2057379908,,,нет,нет,,нет,,нет,1,,,нет,Свободная продажа,,2,,2450000₽,
,Раздельный,55 м2,,3,49090₽/м²,,Без ремонта,2,во двор,1,,"6,2 м2",,центральный,есть,,"33,9 м2",https://domclick.ru/card/sale__flat__2059080143,,,,,,,,нет,,,,нет,Свободная продажа,,,,2700000₽,
Кирпичный,,15 м2,,2,58000₽/м²,,косметический,1,во двор,4,,"2,5 м2",1969,центральный,есть,,"12,5 м2",https://domclick.ru/card/sale__flat__2058251972,,,,,,,,,,,,нет,Свободная продажа,,5,,870000₽,
Кирпичный,Совмещенный,"44,4 м2",,2.75,84459₽/м²,1,Без ремонта,1,на улицу,5,,"11,9 м2",1957,центральный,есть,,"17,4 м2",https://domclick.ru/card/sale__flat__1979522325,v-кирпичный,,,,,,,нет,,128,Меньше трех,,Переуступка,Деревянный,3,2,3750000₽,
Кирпичный,,18 м2,,,86666₽/м²,,Косметический,,,4,,5 м2,1966,центральный,,,,https://domclick.ru/card/sale__flat__2059199555,v-кирпичный,,,,,,Иной,,,,,нет,,Железобетонный,5,,1560000₽,
Панельный,,44 м2,,,67613₽/м²,,Косметический ремонт,2,,5,,5 м2,1970,центральный,есть,,31 м2,https://domclick.ru/card/sale__flat__2059232902,1-панельный,,,,,,Ленточный,,,,,нет,Свободная продажа,Железобетонный,5,,2975000₽,
Панельный,Совмещенный,"37,7 м2",,,82201₽/м²,1,Евро,1,на улицу,3,есть,9 м2,1993,центральный,есть,,20 м2,https://domclick.ru/card/sale__flat__2057309617,,,нет,нет,,нет,Ленточный,нет,2,,Больше пяти,,Свободная продажа,Железобетонный,10,1,3099000₽,
Кирпичный,,"44,6 м2",,,95964₽/м²,1,Евро,1,на улицу,13,есть,11 м2,2010,центральный,нет,,"21,5 м2",https://domclick.ru/card/sale__flat__2056339393,v-кирпичный,,,,,,,есть,,,,,Свободная продажа,Железобетонный,16,2,4280000₽,
Кирпичный,Совмещенный,"54,1 м2",,2.5,62292₽/м²,,Косметический,2,во двор,1,,10 м2,1966,центральный,нет,2,"38,1 м2",https://domclick.ru/card/sale__flat__2059377808,v-кирпичный,,нет,нет,,нет,,нет,2,171,Больше пяти,нет,Свободная продажа,Железобетонный,5,,3370000₽,
Панельный,Совмещенный,"30,3 м2",,,95709₽/м²,1,Косметический,1,во двор,3,,"6,8 м2",1970,центральный,есть,,"18,2 м2",https://domclick.ru/card/sale__flat__2019248544,1-панельный,,нет,нет,,нет,Ленточный,нет,,,,,Свободная продажа,Железобетонный,5,,2900000₽,
Кирпичный,,55 м2,,,76363₽/м²,,Требует ремонта,3,во двор,2,,6 м2,1965,центральный,есть,,30 м2,https://domclick.ru/card/sale__flat__2059382933,v-кирпичный,,,,,,,,,80,,нет,Свободная продажа,Железобетонный,6,,4200000₽,
Панельный,,"43,4 м2",,2.7,63341₽/м²,,косметический,2,во двор,5,,6 м2,1968,центральный,есть,,20 м2,https://domclick.ru/card/sale__flat__2058251886,1-464А,,,,,,Ленточный,,,,,нет,Свободная продажа,Железобетонный,5,,2749000₽,
Кирпичный,,32 м2,,,60937₽/м²,1,,1,,3,,10 м2,1962,центральный,есть,,15 м2,https://domclick.ru/card/sale__flat__2056904708,1-447,,,,,,,,,,,,Свободная продажа,Железобетонный,4,,1950000₽,Центральное
Панельный,,"38,3 м2",,2.7,91383₽/м²,1,Евро,1,на улицу,10,есть,8 м2,1998,центральный,есть,,20 м2,https://domclick.ru/card/sale__flat__2059438284,111-90 (90),,,,,,,,,,,,Свободная продажа,Железобетонный,10,1,3500000₽,
Кирпичный,,52 м2,,,105576₽/м²,,Дизайнерский,2,,6,есть,15 м2,2007,центральный,есть,,,https://domclick.ru/card/sale__flat__2056365009,01-пз индивидуальный проект,,,,,,,,,,,нет,Свободная продажа,Железобетонный,6,1,5490000₽,
Кирпичный,Совмещенный,"30,4 м2",,,78618₽/м²,,Косметический,1,во двор,5,,6 м2,1966,центральный,есть,,20 м2,https://domclick.ru/card/sale__flat__2058494485,v-кирпичный,,,,,,Иной,нет,1,,Больше пяти,нет,Свободная продажа,Железобетонный,5,,2390000₽,
Кирпичный,,"82,5 м2",,,103030₽/м²,2,,2,,7,есть,20 м2,2006,центральный,есть,,42 м2,https://domclick.ru/card/sale__flat__2058125627,"i, блочный",,,,,,,,,226,,,Свободная продажа,,11,1,8500000₽,
Кирпичный,Совмещенный,"30,2 м2",,,75827₽/м²,1,Косметический,1,во двор,5,,"5,5 м2",1972,центральный,есть,,"17,5 м2",https://domclick.ru/card/sale__flat__2059405155,,,нет,нет,,нет,Бетонные столбы,нет,1,,От трех до пяти,,Свободная продажа,Железобетонный,5,,2290000₽,Квартирное (квартирный котел)
Кирпичный,,16 м2,,,40625₽/м²,,косметический,1,во двор,2,,3 м2,1979,центральный,,,10 м2,https://domclick.ru/card/sale__flat__2059297483,v-кирпичный,,,,,,Иной,,,,,нет,Свободная продажа,Железобетонный,5,,650000₽,
Кирпичный,,"68,8 м2",,2.7,61046₽/м²,1,,4,на улицу,8,есть,"6,5 м2",1981,центральный,есть,,46 м2,https://domclick.ru/card/sale__flat__2059306992,,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,9,1,4200000₽,
Блочный,,36 м2,,3,88888₽/м²,1,,1,,9,есть,"9,8 м2",2015,центральный,,,14 м2,https://domclick.ru/card/sale__flat__1719508303,"i, блочный",,,,,,,,,,,,Свободная продажа,Железобетонный,17,1,3200000₽,
Кирпичный,,86 м2,,2.7,162790₽/м²,1,Дизайнерский,2,на улицу,8,,12 м2,2019,центральный,нет,,50 м2,https://domclick.ru/card/sale__flat__2056592916,,,,,,,,,,88,,,Свободная продажа,Железобетонный,10,1,13999998₽,Центральное
Панельный,Раздельный,44 м2,,2.5,69318₽/м²,1,Косметический,2,во двор,5,,"5,5 м2",1969,центральный,есть,,28 м2,https://domclick.ru/card/sale__flat__2059554563,"14/14, индивидуальный",,нет,нет,,нет,Иной,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,5,,3050000₽,
Кирпичный,Раздельный,"47,5 м2",,,72631₽/м²,1,Косметический,2,на улицу,9,есть,"8,1 м2",1993,центральный,есть,,"28,2 м2",https://domclick.ru/card/sale__flat__2018201475,114-86,,нет,нет,,нет,,нет,2,,Больше пяти,,Свободная продажа,Железобетонный,10,1,3450000₽,
Блочный,Совмещенный,"18,8 м2",,2.7,93085₽/м²,,Косметический,,во двор,2,,"3,8 м2",2010,центральный,нет,,14 м2,https://domclick.ru/card/sale__flat__2059560503,,,нет,нет,,нет,,нет,,,,нет,Свободная продажа,Железобетонный,4,,1750000₽,Центральное
Кирпичный,Совмещенный,"14,9 м2",,,55704₽/м²,,Косметический,,во двор,2,,,1931,центральный,есть,,9 м2,https://domclick.ru/card/sale__flat__2059141721,,,нет,нет,,нет,,нет,,,Больше пяти,нет,Свободная продажа,Деревянный,5,,830000₽,Центральное
Кирпичный,Раздельный,100 м2,,,93000₽/м²,2,Евро,3,во двор,1,есть,15 м2,2015,центральный,нет,2,60 м2,https://domclick.ru/card/sale__flat__2058992091,v-кирпичный,,нет,нет,,нет,,есть,1,172,Больше пяти,,Свободная продажа,,14,3,9300000₽,
Кирпичный,,"49,6 м2",,,102822₽/м²,,,2,,8,есть,,2015,центральный,,,,https://domclick.ru/card/sale__flat__2058004411,v-кирпичный,,,,,,,,,172,,нет,Свободная продажа,,14,,5100000₽,
,,40 м2,,,94250₽/м²,,,1,,5,,6 м2,,центральный,,,19 м2,https://domclick.ru/card/sale__flat__2058128767,,,,,,,,,,,,нет,Переуступка,,9,,3770000₽,
Кирпичный,Совмещенный,44 м2,,2.7,79545₽/м²,1,Косметический,3,во двор,4,,6 м2,1965,центральный,есть,1,31 м2,https://domclick.ru/card/sale__flat__2058918657,v-кирпичный,,нет,нет,,нет,,нет,1,80,От трех до пяти,,Свободная продажа,Железобетонный,6,,3500000₽,
Кирпичный,Совмещенный,"40,9 м2",,2.5,78239₽/м²,,Евро,2,во двор,1,,"5,8 м2",1966,центральный,есть,,"26,9 м2",https://domclick.ru/card/sale__flat__2058745017,1-447,,нет,нет,,нет,Ленточный,нет,,,,нет,Свободная продажа,Железобетонный,5,,3200000₽,
Кирпичный,Совмещенный,"41,9 м2",,2.5,80668₽/м²,1,Косметический,3,во двор,5,,"5,7 м2",1968,центральный,есть,,"30,3 м2",https://domclick.ru/card/sale__flat__2059290936,v-кирпичный,,нет,нет,,нет,Ленточный,нет,,,,,Свободная продажа,Железобетонный,5,,3380000₽,
Панельный,,"43,4 м2",,,73732₽/м²,1,Требует ремонта,2,во двор,1,есть,"7,2 м2",1991,центральный,есть,,,https://domclick.ru/card/sale__flat__2058641061,,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,10,1,3200000₽,
Панельный,,"43,8 м2",,,61643₽/м²,1,косметический,2,"во двор, на улицу",5,,6 м2,1969,центральный,есть,,30 м2,https://domclick.ru/card/sale__flat__1969449040,"14/14, индивидуальный",,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,2700000₽,
Кирпичный,Совмещенный,31 м2,,2.5,64193₽/м²,,Косметический,1,во двор,1,,6 м2,1957,центральный,есть,,19 м2,https://domclick.ru/card/sale__flat__2059474484,v-кирпичный,,нет,нет,,нет,Ленточный,нет,,,,нет,Свободная продажа,Деревянный,2,,1990000₽,
Панельный,,"44,2 м2",,,51357₽/м²,1,,,,5,,6 м2,1971,центральный,есть,,17 м2,https://domclick.ru/card/sale__flat__2058080601,а-литер,,,,,,Бетонные столбы,,,,,,Свободная продажа,Железобетонный,5,,2270000₽,
,,52 м2,,,79230₽/м²,1,,2,,4,,17 м2,,центральный,,,,https://domclick.ru/card/sale__flat__2056537168,,,,,,,,,,,,,Свободная продажа,,8,,4120000₽,
Панельный,Раздельный,51 м2,,,68627₽/м²,1,Косметический,2,,8,есть,8 м2,1995,центральный,есть,,29 м2,https://domclick.ru/card/sale__flat__2058439612,,,нет,нет,,нет,,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,10,1,3500000₽,Закрытая с приготовлением горячей воды на ЦТП
Кирпичный,Совмещенный,"37,5 м2",,2.7,38666₽/м²,,Без ремонта,1,во двор,4,,6 м2,1977,центральный,нет,,20 м2,https://domclick.ru/card/sale__flat__2056877866,v-кирпичный,,нет,нет,,нет,Иной,нет,1,,Больше пяти,нет,Свободная продажа,Железобетонный,5,,1450000₽,
Кирпичный,Раздельный,"44,6 м2",,,44843₽/м²,1,Без ремонта,2,"во двор, на улицу",3,,6 м2,1971,центральный,есть,,34 м2,https://domclick.ru/card/sale__flat__2059530656,v-кирпичный,,нет,нет,,нет,,нет,,56,,,Свободная продажа,Железобетонный,5,,2000000₽,
Кирпичный,Совмещенный,"67,5 м2",,2.7,74074₽/м²,1,Евро,1,на улицу,5,,"16,5 м2",2006,центральный,нет,1,51 м2,https://domclick.ru/card/sale__flat__2058486836,,,нет,нет,,нет,,есть,1,,Больше пяти,,Свободная продажа,,12,3,5000000₽,
Монолитно-кирпичный,,45 м2,,,86444₽/м²,,,1,,3,,20 м2,2020,центральный,есть,,,https://domclick.ru/card/sale__flat__2059231161,,,,,,,,нет,,,,нет,Свободная продажа,Железобетонный,3,,3890000₽,Центральное
Панельный,,"47,2 м2",,,74152₽/м²,1,,3,,5,,6 м2,1969,центральный,есть,,20 м2,https://domclick.ru/card/sale__flat__2058207313,"14/14, индивидуальный",,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,3500000₽,
Смешанные,Совмещенный,"38,6 м2",,,51813₽/м²,,Без ремонта,2,,2,,,1917,центральный,нет,,24 м2,https://domclick.ru/card/sale__flat__2058817293,"14/14, индивидуальный",,нет,нет,,нет,,нет,,34,,нет,Свободная продажа,Деревянный,2,,2000000₽,
Кирпичный,,75 м2,,2.7,62666₽/м²,,косметический,3,"во двор, на улицу",2,,8 м2,1967,центральный,есть,,50 м2,https://domclick.ru/card/sale__flat__2059382932,v-кирпичный,,,,,,Ленточный,,,,,нет,Свободная продажа,Железобетонный,3,,4700000₽,
Панельный,,"43,9 м2",,,82687₽/м²,1,Косметический,3,,2,,"5,7 м2",1969,центральный,есть,,33 м2,https://domclick.ru/card/sale__flat__2059380140,"14/14, индивидуальный",,нет,нет,,нет,Ленточный,нет,,,,,Альтернатива,Железобетонный,5,,3630000₽,
Панельный,Раздельный,45 м2,,,65555₽/м²,1,Косметический,2,во двор,1,,6 м2,1970,центральный,есть,,31 м2,https://domclick.ru/card/sale__flat__2059557244,"14/14, индивидуальный",,нет,нет,,нет,,нет,1,119,Больше пяти,,Свободная продажа,Железобетонный,5,,2950000₽,
Кирпичный,,"34,7 м2",,,76080₽/м²,,,1,,1,,7 м2,1969,центральный,есть,,19 м2,https://domclick.ru/card/sale__flat__2058825661,а-литер,,,,,,Ленточный,,,,,нет,Свободная продажа,Железобетонный,5,,2640000₽,
Блочный,,"36,7 м2",,2.7,65395₽/м²,,,1,,1,,10 м2,1990,центральный,,,15 м2,https://domclick.ru/card/sale__flat__1983656832,,,нет,нет,,нет,,нет,,,,нет,Свободная продажа,,2,,2400000₽,
Кирпичный,,"31,1 м2",,,86816₽/м²,,,1,,2,,6 м2,1961,центральный,есть,,16 м2,https://domclick.ru/card/sale__flat__2059512713,v-кирпичный,,,,,,Ленточный,,,,,нет,Свободная продажа,Деревянный,5,,2700000₽,
Панельный,Совмещенный,31 м2,,,58064₽/м²,1,Без ремонта,1,во двор,5,,6 м2,1969,центральный,есть,,"17,4 м2",https://domclick.ru/card/sale__flat__1973682746,,,нет,нет,,нет,,нет,2,,Больше пяти,,Свободная продажа,,5,,1800000₽,
Панельный,,68 м2,,,73382₽/м²,1,Косметический,3,,1,есть,18 м2,1998,центральный,есть,,,https://domclick.ru/card/sale__flat__2058291731,111-90 (90),,,,,,,,,,,,,Железобетонный,10,,4990000₽,
Кирпичный,,45 м2,,,116666₽/м²,,,1,,10,есть,13 м2,2015,центральный,,,25 м2,https://domclick.ru/card/sale__flat__2057697259,v-кирпичный,,,,,,,,,172,,нет,Свободная продажа,,14,,5250000₽,
Монолитный,Совмещенный,35 м2,,,96285₽/м²,1,Евро,1,во двор,5,есть,11 м2,2017,центральный,нет,,16 м2,https://domclick.ru/card/sale__flat__2056206907,1-панельный,,нет,нет,,нет,,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,19,,3370000₽,
,,30 м2,,,53333₽/м²,,,1,во двор,1,,"4,5 м2",,центральный,,,20 м2,https://domclick.ru/card/sale__flat__1925466116,,,,,,,,,,,,нет,Свободная продажа,,,,1600000₽,
Панельный,,61 м2,,,61475₽/м²,1,,4,во двор,2,,"6,5 м2",1969,центральный,есть,,47 м2,https://domclick.ru/card/sale__flat__2058321748,"14/14, индивидуальный",,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,3750000₽,
Кирпичный,,"30,1 м2",,2.8,83720₽/м²,1,косметический,1,"во двор, на улицу",4,,"5,6 м2",1962,центральный,есть,,"17,5 м2",https://domclick.ru/card/sale__flat__2059272144,,,,,,,Ленточный,,,52,,,Свободная продажа,Железобетонный,4,,2520000₽,
Кирпичный,,78 м2,,,102564₽/м²,,,3,,5,есть,,2009,центральный,есть,,,https://domclick.ru/card/sale__flat__1985824656,а-0101,,,,,,,нет,,,,нет,Свободная продажа,Железобетонный,10,,8000000₽,
Монолитный,Совмещенный,50 м2,,,119999₽/м²,1,Косметический,2,,17,есть,,2015,центральный,нет,,32 м2,https://domclick.ru/card/sale__flat__2056555069,,,нет,нет,,нет,,нет,,96,,,Свободная продажа,Железобетонный,18,1,5999999₽,
Блочный,,"38,4 м2",,,58593₽/м²,1,Косметический,2,,2,,6 м2,1957,центральный,есть,,,https://domclick.ru/card/sale__flat__1921012812,"i, блочный",,,,,,Ленточный,,,,,,,Деревянный,2,,2250000₽,
Кирпичный,,"12,8 м2",,,50781₽/м²,,косметический,1,на улицу,4,,3 м2,1976,центральный,,,6 м2,https://domclick.ru/card/sale__flat__2058635189,,,,,,,Иной,,,,,нет,Свободная продажа,Железобетонный,5,,650000₽,Закрытая с приготовлением горячей воды на ЦТП
Панельный,,"43,9 м2",,,79498₽/м²,,,2,,4,,8 м2,1983,центральный,есть,,28 м2,https://domclick.ru/card/sale__flat__2005215933,а-литер,,,,,,Ленточный,нет,,,,нет,Свободная продажа,Железобетонный,5,,3490000₽,
Кирпично-монолитный,,75 м2,,,102694₽/м²,,,4,,6,,"21,5 м2",2024,центральный,,,"46,6 м2",https://domclick.ru/card/sale__flat__2059267032,,,,,,,,,,,,нет,Переуступка,,10,,7700000₽,
,,61 м2,,,81967₽/м²,,,3,,18,,14 м2,,центральный,,,27 м2,https://domclick.ru/card/sale__flat__2058908438,,,,,,,,,,,,нет,Переуступка,,,,5000000₽,
Кирпичный,Совмещенный,"43,6 м2",,2.75,85969₽/м²,1,,1,"во двор, на улицу",12,,"11,6 м2",1957,центральный,есть,,"17,8 м2",https://domclick.ru/card/sale__flat__1979620827,v-кирпичный,,,,,,,нет,,128,,,Переуступка,Деревянный,3,3,3750000₽,
Кирпичный,,31 м2,,,96612₽/м²,,,1,,5,,7 м2,1964,центральный,есть,,18 м2,https://domclick.ru/card/sale__flat__2057444312,,,,,,,Ленточный,нет,,,,нет,Свободная продажа,Железобетонный,5,,2995000₽,Квартирное (квартирный котел)
Кирпичный,,"64,1 м2",,,106084₽/м²,,евроремонт,2,во двор,4,есть,11 м2,2007,центральный,есть,,34 м2,https://domclick.ru/card/sale__flat__2059437994,01-пз индивидуальный проект,,,,,,,,,,,нет,Свободная продажа,Железобетонный,6,1,6800000₽,
,,27 м2,,,101851₽/м²,1,,,,17,,,,центральный,,,15 м2,https://domclick.ru/card/sale__flat__2058175026,,,,,,,,,,,,,Свободная продажа,,,,2750000₽,
Кирпичный,Совмещенный,30 м2,,,45000₽/м²,,Косметический,2,,1,,,,центральный,,,18 м2,https://domclick.ru/card/sale__flat__2058192305,,,нет,нет,,нет,,нет,,,,нет,Свободная продажа,,2,,1350000₽,
Кирпичный,,"42,7 м2",,,58547₽/м²,,,2,,2,,"6,4 м2",1917,центральный,есть,,24 м2,https://domclick.ru/card/sale__flat__2058811170,"14/14, индивидуальный",,,,,,Ленточный,,,,,нет,Свободная продажа,Деревянный,2,,2499999₽,
Кирпичный,Раздельный,"61,7 м2",,2.7,64829₽/м²,1,Косметический,3,"во двор, на улицу",5,,,1971,центральный,есть,1,40 м2,https://domclick.ru/card/sale__flat__2058480974,1-447-с / мкд,,нет,есть,,нет,,нет,3,,Больше пяти,,Свободная продажа,Железобетонный,5,,4000000₽,Центральное
Монолитно-кирпичный,,37 м2,,,94594₽/м²,1,,1,,13,,10 м2,2019,центральный,,,,https://domclick.ru/card/sale__flat__2057697241,,,,,,,Плитный,,,353,,,Свободная продажа,Железобетонный,19,,3500000₽,
Монолитный,,"43,4 м2",,2.8,91981₽/м²,,Требует ремонта,,"во двор, на улицу",3,,"11,5 м2",2024,центральный,,,,https://domclick.ru/card/sale__flat__2059080514,,,,,,,,,,,,нет,Свободная продажа,,10,1,3992000₽,
Кирпичный,Совмещенный,"38,9 м2",,,79665₽/м²,1,Косметический,2,во двор,5,,,1968,центральный,есть,,29 м2,https://domclick.ru/card/sale__flat__2058600899,а-литер,,нет,нет,,нет,Ленточный,нет,,,Больше пяти,,Свободная продажа,Железобетонный,5,,3099000₽,
Панельный,,33 м2,,,95454₽/м²,1,,1,,8,,6 м2,1978,центральный,есть,,19 м2,https://domclick.ru/card/sale__flat__2056561099,,,,,,,,,,,,,Свободная продажа,,9,1,3150000₽,
Блочный,,"116,6 м2",,2.8,93481₽/м²,,евроремонт,3,"во двор, на улицу",2,есть,"24,9 м2",2015,центральный,,,"69,5 м2",https://domclick.ru/card/sale__flat__2058921080,"i, блочный",,,,,,,,,,,нет,Свободная продажа,Железобетонный,17,1,10900000₽,
Панельный,Раздельный,"47,7 м2",C,2.5,67085₽/м²,,Косметический,2,во двор,1,,6 м2,1976,центральный,есть,,"38,8 м2",https://domclick.ru/card/sale__flat__2059110764,,,нет,нет,,нет,Ленточный,нет,,,,нет,Свободная продажа,Железобетонный,5,,3200000₽,
Кирпичный,,"35,8 м2",,,100558₽/м²,,,1,во двор,13,есть,11 м2,2017,центральный,,,16 м2,https://domclick.ru/card/sale__flat__2058885484,,,,,,,Иной,,,,,нет,Свободная продажа,Железобетонный,19,1,3600000₽,
Монолитный,Раздельный,"125,3 м2",,2.7,87789₽/м²,1,Косметический,3,"во двор, на улицу",12,,,2006,центральный,нет,,93 м2,https://domclick.ru/card/sale__flat__2058975496,,,нет,нет,,нет,,нет,1,,Больше пяти,,Свободная продажа,,12,1,11000000₽,
Кирпичный,,"73,3 м2",,,102319₽/м²,1,,3,,1,есть,14 м2,2015,центральный,,,48 м2,https://domclick.ru/card/sale__flat__2058207315,v-кирпичный,,,,,,,,,172,,,Свободная продажа,,14,1,7500000₽,
Кирпичный,,"29,7 м2",,,69023₽/м²,,,1,,2,,6 м2,1958,центральный,есть,,18 м2,https://domclick.ru/card/sale__flat__2059522374,v-кирпичный,,,,,,Ленточный,,,,,нет,Свободная продажа,Железобетонный,3,,2050000₽,
,,"39,8 м2",,,100502₽/м²,1,Косметический,2,на улицу,2,,,,центральный,,,,https://domclick.ru/card/sale__flat__2058390683,,,,,,,,нет,1,,Больше пяти,,Альтернатива,,4,,4000000₽,
Кирпичный,,30 м2,,,86000₽/м²,1,,1,,4,,6 м2,1970,центральный,есть,,18 м2,https://domclick.ru/card/sale__flat__2058596611,,,,,Центральное,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,2580000₽,
,,"31,5 м2",,,50793₽/м²,,,2,на улицу,1,,"6,9 м2",,центральный,,,"21,6 м2",https://domclick.ru/card/sale__flat__2058312112,,,,,,,,,,,,нет,Свободная продажа,,2,,1600000₽,
Панельный,,"47,3 м2",,2.6,76109₽/м²,,косметический,3,"во двор, на улицу",5,,"5,7 м2",1969,центральный,есть,,33 м2,https://domclick.ru/card/sale__flat__2059381842,"14/14, индивидуальный",,,,,,Ленточный,,,,,нет,Свободная продажа,Железобетонный,5,,3600000₽,
Кирпичный,,"45,6 м2",,,109649₽/м²,1,Евро,,,10,есть,5 м2,2015,центральный,,,,https://domclick.ru/card/sale__flat__2059246796,v-кирпичный,,,,,,,,,172,,,,,14,,5000000₽,
Панельный,Совмещенный,"44,4 м2",,2.7,74774₽/м²,1,Косметический,2,"во двор, на парк",4,,"5,3 м2",1968,центральный,есть,,31 м2,https://domclick.ru/card/sale__flat__2057452812,1-панельный,,,,,,Ленточный,нет,1,,,,Свободная продажа,Железобетонный,5,,3320000₽,
,Совмещенный,"61,1 м2",,2.8,88379₽/м²,1,Евро,2,"во двор, на улицу",18,,"14,1 м2",,центральный,,,40 м2,https://domclick.ru/card/sale__flat__2059363467,,,,,,,,есть,2,,Меньше трех,,Переуступка,,,2,5400000₽,
Панельный,Совмещенный,44 м2,,,67045₽/м²,1,Косметический,2,во двор,2,,5 м2,1970,центральный,есть,,31 м2,https://domclick.ru/card/sale__flat__2059492186,1-панельный,,нет,нет,,нет,Ленточный,нет,1,,Меньше трех,,Свободная продажа,Железобетонный,5,,2950000₽,
Кирпичный,,"42,5 м2",,3,36941₽/м²,,Требует ремонта,3,на улицу,2,,5 м2,1931,центральный,есть,,25 м2,https://domclick.ru/card/sale__flat__2056822564,,,,,,,,,,,,нет,Свободная продажа,Деревянный,5,,1570000₽,Центральное
