Этаж,Площадь,Ссылка,Грузовой лифт,Количество этажей,Количество квартир,Количество балконов,Прописано,Горячее водоснабжение,Комнат,Кухня,Прописанные несовершеннолетние,Цена,Количество лифтов,Газ,Несовершеннолетние собственники,Серия дома,Тип сделки,Санузел,Год постройки,Перепланировка,Жилая,Цена за квадрат,Вид из окон,Детская площадка,Материал стен,Высота потолков,Ремонт,Балкон,Район,Лет в собственности,Мусоропровод,Тип фундамента,Тип перекрытий,Лифт,Количество собственников
1,"49,9 м2",https://domclick.ru/card/sale__flat__2059532946,нет,9,,1,,,2,,,3900000₽,1,есть,,1-панельный,Свободная продажа,Совмещенный,1982,,35 м2,78156₽/м²,во двор,,Панельный,2.7,Дизайнерский,,ленинский,,есть,,Железобетонный,есть,3
3,"38,9 м2",https://domclick.ru/card/sale__flat__2058713102,нет,12,99,1,,,1,10 м2,нет,4000000₽,1,нет,нет,,Свободная продажа,,2014,нет,17 м2,102827₽/м²,во двор,,Смешанные,2.5,Косметический,,ленинский,Больше пяти,,,Железобетонный,есть,1
7,"50,1 м2",https://domclick.ru/card/sale__flat__2058869105,нет,9,,1,,,2,9 м2,нет,3650000₽,1,есть,нет,1-панельный,Свободная продажа,Раздельный,1982,нет,"29,5 м2",72854₽/м²,на улицу,,Панельный,2.7,Косметический,,ленинский,Больше пяти,есть,,Железобетонный,есть,1
9,"38,9 м2",https://domclick.ru/card/sale__flat__2058742760,есть,15,,1,1,,1,12 м2,нет,3100000₽,2,есть,нет,,Свободная продажа,Совмещенный,2015,нет,18 м2,79691₽/м²,во двор,,Кирпичный,,Дизайнерский,,ленинский,Больше пяти,,Иной,Железобетонный,есть,1
14,45 м2,https://domclick.ru/card/sale__flat__2059528608,есть,15,,1,,Центральное,1,14 м2,нет,4450000₽,4,нет,нет,,Свободная продажа,Совмещенный,2018,нет,18 м2,98888₽/м²,,,Монолитный,,Евро,,ленинский,Больше пяти,,,Железобетонный,,1
4,"67,1 м2",https://domclick.ru/card/sale__flat__2054482691,нет,9,,1,,,3,"7,6 м2",нет,5150000₽,1,есть,нет,а-литер,Свободная продажа,Раздельный,1984,нет,"42,4 м2",76751₽/м²,"во двор, на улицу",,Панельный,2.8,Евро,,ленинский,Меньше трех,,,Железобетонный,есть,1
1,"51,1 м2",https://domclick.ru/card/sale__flat__2057814104,,3,,1,,,1,15 м2,,4750000₽,,есть,,индивидуальный проект 872/3-2012,Свободная продажа,,2013,,30 м2,92954₽/м²,во двор,,Блочный,,,,ленинский,,,Ленточный,Смешанный,,
13,46 м2,https://domclick.ru/card/sale__flat__2056598990,нет,17,,1,,,1,14 м2,нет,3570000₽,1,нет,нет,а-литер,Свободная продажа,Совмещенный,2009,нет,18 м2,77608₽/м²,"во двор, на улицу",,Смешанные,2.7,Косметический,,ленинский,Больше пяти,,,Железобетонный,есть,2
5,"59,3 м2",https://domclick.ru/card/sale__flat__2055789825,нет,14,117,2,,,2,,нет,5090000₽,2,нет,нет,,Свободная продажа,Раздельный,2011,нет,35 м2,85834₽/м²,во двор,,Смешанные,,Евро,,ленинский,Больше пяти,,,Железобетонный,есть,2
1,47 м2,https://domclick.ru/card/sale__flat__2058201574,,17,,1,,,1,15 м2,,3500000₽,1,,,а-литер,Свободная продажа,,2009,,27 м2,74468₽/м²,,,Смешанные,3,косметический,,ленинский,,,,Железобетонный,есть,
6,"26,3 м2",https://domclick.ru/card/sale__flat__2059491607,есть,17,,1,,,,5 м2,нет,2450000₽,3,есть,нет,,Свободная продажа,Совмещенный,2014,нет,"8,2 м2",93333₽/м²,во двор,,Панельный,2.7,Косметический,,ленинский,,,,,,
2,"45,1 м2",https://domclick.ru/card/sale__flat__1703739225,есть,17,,1,,Центральное,1,,нет,3382500₽,3,,нет,,Свободная продажа,Совмещенный,2022,нет,17 м2,75000₽/м²,во двор,,Кирпичный,2.7,Без ремонта,,ленинский,,,,Железобетонный,есть,1
11,"36,6 м2",https://domclick.ru/card/sale__flat__2058012810,нет,17,,1,,,1,11 м2,,3560000₽,1,нет,,индивидуальный проект 13821.0.00-18,Свободная продажа,Совмещенный,2015,,20 м2,97267₽/м²,во двор,,Панельный,,Евро,,ленинский,,,,Железобетонный,есть,
11,69 м2,https://domclick.ru/card/sale__flat__2056469364,есть,20,568,1,,,2,10 м2,,7200000₽,2,,,,,,2016,,45 м2,104347₽/м²,,,Смешанные,2.7,евроремонт,,ленинский,,,,Железобетонный,есть,
7,"60,2 м2",https://domclick.ru/card/sale__flat__2058926907,нет,9,,2,,,3,7 м2,нет,4000000₽,1,есть,нет,v-кирпичный,Свободная продажа,Раздельный,1975,нет,"37,2 м2",66445₽/м²,"во двор, на улицу",,Кирпичный,,Без ремонта,,ленинский,Больше пяти,есть,,Железобетонный,есть,1
8,"36,6 м2",https://domclick.ru/card/sale__flat__2011921521,есть,17,482,1,1,,1,,нет,3650000₽,3,нет,нет,13392.0.00-06-иэк,Свободная продажа,Совмещенный,2016,нет,14 м2,99726₽/м²,во двор,,Панельный,2.7,Евро,,ленинский,Больше пяти,,,,есть,1
6,43 м2,https://domclick.ru/card/sale__flat__2059292222,есть,10,,1,,,2,"15,3 м2",нет,3130000₽,3,есть,нет,индивидуальный проект 13392.0.00-01,Свободная продажа,Совмещенный,2015,нет,13 м2,72790₽/м²,во двор,,Панельный,2.7,Косметический,,ленинский,,,,Железобетонный,есть,
6,"57,2 м2",https://domclick.ru/card/sale__flat__2059217629,есть,16,,1,,,2,"10,8 м2",,6250000₽,2,нет,,v-кирпичный,Свободная продажа,Раздельный,2007,,"31,1 м2",109265₽/м²,на улицу,,Смешанные,,Евро,,ленинский,,,,Железобетонный,есть,
5,"97,4 м2",https://domclick.ru/card/sale__flat__1706938887,,6,,1,,,4,12 м2,,5750000₽,,есть,,"14/14, индивидуальный",,,1993,,,59034₽/м²,,,Кирпичный,,Дизайнерский,,ленинский,,,Бетонные столбы,Железобетонный,,
2,"15,7 м2",https://domclick.ru/card/sale__flat__2058252023,,3,,,,Поквартирный котел,1,"6,7 м2",,1200000₽,,,,,Свободная продажа,,1917,,9 м2,76433₽/м²,во двор,,Кирпичный,3.8,Требует ремонта,нет,ленинский,,,,Деревянный,,
5,28 м2,https://domclick.ru/card/sale__flat__2055961742,нет,17,371,,,Центральное,,,нет,2280000₽,,нет,нет,,Свободная продажа,,2023,нет,16 м2,81428₽/м²,,,Панельный,,,нет,ленинский,,,,Железобетонный,,
4,41 м2,https://domclick.ru/card/sale__flat__2059566839,есть,17,,,,,1,18 м2,,4000000₽,1,нет,,,Свободная продажа,,2020,,12 м2,97560₽/м²,,,Панельный,,,нет,ленинский,,,,,,
5,"66,6 м2",https://domclick.ru/card/sale__flat__1965334720,есть,17,,1,,Центральное,2,"18,4 м2",нет,5415200₽,3,нет,нет,,Переуступка,Совмещенный,2022,нет,31 м2,81309₽/м²,во двор,,Кирпичный,2.7,Без ремонта,,ленинский,,,,Железобетонный,есть,
