Этаж,Площадь,Ссылка,Грузовой лифт,Количество этажей,Количество квартир,Количество балконов,Прописано,Горячее водоснабжение,Комнат,Кухня,Прописанные несовершеннолетние,Цена,Количество лифтов,Газ,Несовершеннолетние собственники,Серия дома,Тип сделки,Санузел,Год постройки,Перепланировка,Жилая,Цена за квадрат,Вид из окон,Детская площадка,Материал стен,Высота потолков,Ремонт,Балкон,Район,Лет в собственности,Мусоропровод,Тип фундамента,Тип перекрытий,Лифт,Количество собственников
4,35 м2,https://domclick.ru/card/sale__flat__1807118559,нет,9,,,,,1,,нет,2150000₽,,есть,нет,75/крупнопанельный,Свободная продажа,,1988,нет,18 м2,61428₽/м²,,,Панельный,,,нет,ленинский,,,,Железобетонный,есть,
7,"39,5 м2",https://domclick.ru/card/sale__flat__2057341435,есть,14,332,1,,Центральное,1,17 м2,нет,3799000₽,3,нет,нет,,Свободная продажа,Совмещенный,2022,нет,12 м2,96177₽/м²,на улицу,,Панельный,2.5,Дизайнерский,,ленинский,От трех до пяти,,,Железобетонный,,
1,37 м2,https://domclick.ru/card/sale__flat__2057587175,,17,304,1,,,1,"11,1 м2",,2999999₽,1,есть,,индивидуальный проект 11060.3.00-12-ас,Свободная продажа,,2011,,"14,2 м2",81081₽/м²,,,Панельный,,,,ленинский,,,,,есть,
8,47 м2,https://domclick.ru/card/sale__flat__2059319340,нет,17,,1,,,2,"17,5 м2",нет,3980000₽,,есть,нет,индивидуальный проект 11060.3.00-12-ас,Свободная продажа,Совмещенный,2012,нет,16 м2,84680₽/м²,"во двор, на улицу",,Панельный,,Евро,,ленинский,,,,Железобетонный,есть,1
2,"40,6 м2",https://domclick.ru/card/sale__flat__2059204072,нет,5,,1,1,,2,"5,8 м2",нет,3288000₽,,есть,нет,a-a,Свободная продажа,Совмещенный,1963,нет,28 м2,80985₽/м²,во двор,,Кирпичный,,Косметический,,ленинский,От трех до пяти,,Иной,Железобетонный,,1
11,76 м2,https://domclick.ru/card/sale__flat__1987542646,есть,20,401,1,,,2,13 м2,,8790000₽,3,нет,,,Свободная продажа,Более одного,2014,,,115657₽/м²,,,Монолитный,2.8,Евро,,ленинский,Больше пяти,,,Железобетонный,есть,2
5,40 м2,https://domclick.ru/card/sale__flat__2058251977,,10,,,,,1,"10,8 м2",,3850000₽,1,есть,,v-кирпичный,Свободная продажа,,2010,,"29,2 м2",96250₽/м²,во двор,,Кирпичный,,Дизайнерский,нет,ленинский,,,,Железобетонный,есть,
7,"54,6 м2",https://domclick.ru/card/sale__flat__2059177156,,9,,1,,,1,12 м2,,5100000₽,1,есть,,a-a,Свободная продажа,,1979,,38 м2,93406₽/м²,"во двор, на улицу",,Кирпичный,3,евроремонт,,ленинский,,,,Железобетонный,есть,
2,36 м2,https://domclick.ru/card/sale__flat__2059545248,нет,10,,1,,,1,9 м2,,3450000₽,,есть,,75 (111-75),Свободная продажа,,1981,,26 м2,95833₽/м²,во двор,,Панельный,,Косметический,,ленинский,,есть,,Железобетонный,есть,
2,38 м2,https://domclick.ru/card/sale__flat__1886897255,,17,359,,,,1,"9,5 м2",,4100000₽,,,,,,,2020,,,107894₽/м²,,,Панельный,,Евро,нет,ленинский,,,,Железобетонный,есть,
8,63 м2,https://domclick.ru/card/sale__flat__2055950473,есть,14,,1,,Центральное,2,11 м2,нет,4200000₽,2,нет,нет,,Свободная продажа,Раздельный,2022,нет,52 м2,66666₽/м²,"во двор, на улицу",,Кирпичный,,Без ремонта,,ленинский,,,,Железобетонный,,
3,31 м2,https://domclick.ru/card/sale__flat__2059362832,,5,,,,,2,5 м2,,3650000₽,,есть,,v-кирпичный,Свободная продажа,,1967,,20 м2,117741₽/м²,во двор,,Кирпичный,,,нет,ленинский,,,Ленточный,Железобетонный,,
4,45 м2,https://domclick.ru/card/sale__flat__2059087800,,5,,,,,2,6 м2,,3150000₽,,есть,,"14/14, индивидуальный",Свободная продажа,,1977,,32 м2,70000₽/м²,во двор,,Панельный,,косметический,нет,ленинский,,,Иной,Железобетонный,,
2,"53,3 м2",https://domclick.ru/card/sale__flat__2059026419,нет,9,214,1,,,2,"7,7 м2",,3790000₽,1,есть,,1-панельный,Свободная продажа,Раздельный,1979,,"30,1 м2",71106₽/м²,"во двор, на улицу",,Панельный,,Без ремонта,,ленинский,,есть,,,есть,
