Ссылка;Комнат;Цена ₽;Общая площадь м²;Жилая площадь м²;Цена за квадрат ₽/м²;Район;Ремонт;Этаж;Год постройки;Количество этажей;Материал стен
https://domclick.ru/card/sale__flat__2059217940;3;5600000.0;65.3;45.0;85758.0;дзержинский;Дизайнерский;3;1985;9;Панельный
https://domclick.ru/card/sale__flat__2059189610;1;3300000.0;30.0;15.0;110000.0;дзержинский;Евро;4;1973;5;Кирпичный
https://domclick.ru/card/sale__flat__2056695532;4;9500000.0;128.7;82.8;73815.0;дзержинский;Дизайнерский;5;2007;5;Панельный
https://domclick.ru/card/sale__flat__2056966827;2;3990000.0;49.0;29.0;81428.0;дзержинский;косметический;8;1982;9;Панельный
https://domclick.ru/card/sale__flat__2056614142;3;2600000.0;54.2;37.2;47970.0;дзержинский;Косметический;2;1948;2;Кирпичный
https://domclick.ru/card/sale__flat__2057386047;2;4250000.0;50.1;29.6;84830.0;дзержинский;Евро;5;1991;10;Панельный
https://domclick.ru/card/sale__flat__2058480300;3;7500000.0;85.0;42.0;88235.0;дзержинский;Требует ремонта;6;2025;21;Кирпично-монолитный
https://domclick.ru/card/sale__flat__2056970939;1;3500000.0;37.0;19.0;94594.0;дзержинский;евроремонт;12;2017;19;Панельный
https://domclick.ru/card/sale__flat__2057762213;2;6990000.0;73.0;40.0;95753.0;дзержинский;Евро;4;2008;17;Кирпичный
https://domclick.ru/card/sale__flat__2058693858;2;5300000.0;58.8;33.0;90136.0;дзержинский;Евро;5;2017;19;Панельный
https://domclick.ru/card/sale__flat__1832673417;2;3200000.0;43.7;27.8;73226.0;дзержинский;косметический;3;1975;5;Панельный
https://domclick.ru/card/sale__flat__2059442285;2;4475120.0;57.0;31.0;78510.0;дзержинский;Требует ремонта;11;2023;17;Панельный
https://domclick.ru/card/sale__flat__2055830672;3;5300000.0;63.0;48.0;84126.0;дзержинский;Евро;3;1996;10;Панельный
https://domclick.ru/card/sale__flat__2059309621;2;4780000.0;53.0;40.0;90188.0;дзержинский;Дизайнерский;9;1988;9;Панельный
https://domclick.ru/card/sale__flat__2059152960;1;3690000.0;37.7;14.0;97877.0;дзержинский;Косметический;1;2016;19;Панельный
https://domclick.ru/card/sale__flat__2058196351;2;3620000.0;50.2;29.7;72111.0;дзержинский;Косметический;8;1989;9;Панельный
https://domclick.ru/card/sale__flat__2059302590;1;2750000.0;33.7;18.0;81602.0;дзержинский;косметический;8;1978;9;Панельный
https://domclick.ru/card/sale__flat__2003409380;2;2690000.0;48.0;32.0;56041.0;дзержинский;Требует ремонта;1;1973;5;Панельный
https://domclick.ru/card/sale__flat__2059145696;1;3550000.0;38.5;20.0;92207.0;дзержинский;Евро;12;2015;17;Монолитный
https://domclick.ru/card/sale__flat__2059488654;2;4850000.0;51.3;30.0;94541.0;дзержинский;Дизайнерский;5;1976;9;Панельный
https://domclick.ru/card/sale__flat__1950226080;2;8340000.0;87.3;55.0;95532.0;дзержинский;Без ремонта;6;2024;18;Монолитный
https://domclick.ru/card/sale__flat__2058722107;1;3250000.0;32.7;18.0;99388.0;дзержинский;Косметический;1;1983;9;Панельный
https://domclick.ru/card/sale__flat__2059294203;1;3550000.0;40.2;20.0;88308.0;дзержинский;Евро;4;2021;18;Панельный
https://domclick.ru/card/sale__flat__2058340484;3;8589000.0;96.0;23.0;89468.0;дзержинский;Евро;11;2008;14;Кирпичный
https://domclick.ru/card/sale__flat__2058481552;2;5915000.0;58.0;25.0;101982.0;дзержинский;Без ремонта;4;2026;15;Кирпичный
https://domclick.ru/card/sale__flat__2058251907;1;3790000.0;38.0;21.0;99736.0;дзержинский;евроремонт;11;2017;19;Панельный
https://domclick.ru/card/sale__flat__2058460120;1;2876310.0;34.9;16.3;82439.0;дзержинский;Требует ремонта;11;2023;17;Панельный
https://domclick.ru/card/sale__flat__2058601102;2;5999000.0;66.5;58.0;90210.0;дзержинский;Косметический;7;2009;13;Кирпичный
https://domclick.ru/card/sale__flat__2058158493;3;3350000.0;59.0;38.0;56779.0;дзержинский;Требует ремонта;2;1975;5;Кирпичный
https://domclick.ru/card/sale__flat__2056463417;2;3198000.0;40.0;20.0;79950.0;дзержинский;Без ремонта;8;2021;17;Панельный
https://domclick.ru/card/sale__flat__2058330631;2;6700000.0;57.5;40.0;116521.0;дзержинский;Дизайнерский;16;2023;20;Монолитный
https://domclick.ru/card/sale__flat__1721123810;1;689000.0;13.3;13.3;51804.0;дзержинский;Косметический;8;1985;9;Кирпичный
https://domclick.ru/card/sale__flat__1816706699;3;4350000.0;63.5;39.0;68503.0;дзержинский;косметический;9;1981;10;Панельный
https://domclick.ru/card/sale__flat__2059423619;2;3600000.0;42.0;30.0;85714.0;дзержинский;Косметический;3;1975;9;Кирпичный
https://domclick.ru/card/sale__flat__2059557421;2;6390000.0;64.6;55.0;98916.0;дзержинский;Без ремонта;8;2024;17;Монолитный
https://domclick.ru/card/sale__flat__2059312650;2;4780000.0;53.7;34.0;89013.0;дзержинский;Дизайнерский;5;1989;9;Панельный
https://domclick.ru/card/sale__flat__2059489762;1;3300000.0;40.4;30.0;81683.0;дзержинский;Без ремонта;10;2020;19;Панельный
https://domclick.ru/card/sale__flat__2058919074;2;4400000.0;50.0;32.0;88000.0;дзержинский;косметический;7;1995;10;Панельный
https://domclick.ru/card/sale__flat__1878161605;3;3100000.0;58.0;38.0;53448.0;дзержинский;Косметический;2;1977;5;Кирпичный
https://domclick.ru/card/sale__flat__2059171463;3;4550000.0;65.9;36.0;69044.0;дзержинский;Косметический;5;1982;9;Панельный
https://domclick.ru/card/sale__flat__2056080715;1;3600000.0;36.5;18.8;98630.0;дзержинский;Евро;9;2021;17;Панельный
https://domclick.ru/card/sale__flat__2059528654;3;3550000.0;47.0;33.0;75531.0;дзержинский;Евро;5;1973;5;Панельный
https://domclick.ru/card/sale__flat__2058251983;2;4325200.0;60.1;48.0;72002.0;дзержинский;Требует ремонта;14;2024;17;Панельный
https://domclick.ru/card/sale__flat__2059200710;1;2450000.0;28.5;14.0;85964.0;дзержинский;Косметический;2;1994;9;Панельный
https://domclick.ru/card/sale__flat__2059029820;3;4600000.0;60.0;37.4;76666.0;дзержинский;Косметический;6;1975;9;Кирпичный
https://domclick.ru/card/sale__flat__2057808184;1;3000000.0;37.1;18.9;80862.0;дзержинский;Косметический;6;1985;9;Панельный
https://domclick.ru/card/sale__flat__2059401395;2;4332240.0;60.0;28.0;72204.0;дзержинский;Без ремонта;5;2022;17;Панельный
https://domclick.ru/card/sale__flat__2058603819;1;3880000.0;36.2;14.0;107182.0;дзержинский;Евро;10;2024;17;Панельный
https://domclick.ru/card/sale__flat__2058201626;3;4600000.0;65.8;55.0;69908.0;дзержинский;Косметический;5;1978;9;Панельный
https://domclick.ru/card/sale__flat__2056771863;1;2500000.0;29.5;17.0;84745.0;дзержинский;евроремонт;4;1973;5;Кирпичный
https://domclick.ru/card/sale__flat__2058995872;1;2600000.0;33.0;18.0;78787.0;дзержинский;Косметический;1;1987;9;Панельный
https://domclick.ru/card/sale__flat__2058962824;2;4550000.0;52.0;30.0;87500.0;дзержинский;Дизайнерский;4;1979;5;Панельный
https://domclick.ru/card/sale__flat__2058320182;1;2850000.0;33.0;17.0;86363.0;дзержинский;Косметический;8;1978;9;Панельный
