Ссылка;Комнат;Цена ₽;Общая площадь м²;Жилая площадь м²;Цена за квадрат ₽/м²;Район;Ремонт;Этаж;Год постройки;Количество этажей;Материал стен
https://domclick.ru/card/sale__flat__2058251904;1;2850000.0;33.4;18.4;85329.0;ленинский;косметический;16;2017;17;Панельный
https://domclick.ru/card/sale__flat__2059113273;2;5300000.0;77.9;70.0;68035.0;ленинский;Без ремонта;5;2024;9;Монолитный
https://domclick.ru/card/sale__flat__2058219737;2;8700000.0;65.0;31.0;133846.0;ленинский;Евро;9;2021;25;Монолитный
https://domclick.ru/card/sale__flat__2058964495;2;4000000.0;52.0;29.6;76923.0;ленинский;Косметический;6;1984;9;Панельный
https://domclick.ru/card/sale__flat__2059533557;3;8131000.0;109.0;90.0;74596.0;ленинский;Без ремонта;13;2023;18;Монолитно-кирпичный
https://domclick.ru/card/sale__flat__2056334233;1;3660000.0;46.0;17.0;79565.0;ленинский;Косметический;9;2011;10;Панельный
https://domclick.ru/card/sale__flat__2059046746;1;2500000.0;33.3;20.0;75075.0;ленинский;Косметический;1;1980;5;Панельный
https://domclick.ru/card/sale__flat__2059050147;2;3750000.0;55.1;30.0;68058.0;ленинский;евроремонт;13;2015;15;Кирпичный
https://domclick.ru/card/sale__flat__2057509372;3;3700000.0;83.0;56.9;44578.0;ленинский;Без ремонта;2;1947;3;Кирпичный
https://domclick.ru/card/sale__flat__2058251874;1;3100000.0;33.9;18.0;91445.0;ленинский;евроремонт;3;2010;10;Кирпичный
https://domclick.ru/card/sale__flat__2057038732;2;5690000.0;74.5;40.0;76375.0;ленинский;Дизайнерский;3;2012;17;Панельный
https://domclick.ru/card/sale__flat__2058833771;2;4770000.0;65.6;35.6;72713.0;ленинский;Без ремонта;9;2023;18;Панельный
https://domclick.ru/card/sale__flat__2059470167;3;7200000.0;80.0;45.0;90000.0;ленинский;Евро;17;2012;17;Панельный
https://domclick.ru/card/sale__flat__2059112970;2;4300000.0;58.7;45.0;73253.0;ленинский;Без ремонта;3;2024;12;Монолитный
https://domclick.ru/card/sale__flat__2058993867;3;6000840.0;76.0;32.0;79000.0;ленинский;Без ремонта;7;2023;18;Монолитно-кирпичный
https://domclick.ru/card/sale__flat__2059257740;1;3600000.0;37.0;19.0;97297.0;ленинский;Евро;8;2020;17;Панельный
https://domclick.ru/card/sale__flat__2058536325;2;4950000.0;48.5;18.0;102061.0;ленинский;Дизайнерский;12;2015;17;Панельный
https://domclick.ru/card/sale__flat__2059582773;2;4650000.0;61.6;34.0;75487.0;ленинский;Евро;9;2007;10;Смешанные
https://domclick.ru/card/sale__flat__1719016445;5;13200000.0;153.0;100.0;86274.0;ленинский;Евро;1;1998;3;Кирпичный
https://domclick.ru/card/sale__flat__2057502235;1;3358000.0;46.0;16.6;73000.0;ленинский;Без ремонта;3;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__2056137949;2;6099000.0;71.6;50.0;85181.0;ленинский;Евро;2;2014;3;Блочный
https://domclick.ru/card/sale__flat__2059223440;1;3599000.0;42.1;20.0;85486.0;ленинский;косметический;8;2013;8;Кирпичный
https://domclick.ru/card/sale__flat__2058954476;4;7000000.0;87.9;58.3;79635.0;ленинский;Евро;1;1939;4;Кирпичный
https://domclick.ru/card/sale__flat__2058743263;3;4750000.0;58.0;40.0;81896.0;ленинский;Евро;3;1988;14;Кирпичный
https://domclick.ru/card/sale__flat__2059027097;2;4700000.0;56.1;33.0;83778.0;ленинский;евроремонт;1;2012;17;Панельный
https://domclick.ru/card/sale__flat__2059177157;1;2550000.0;41.6;20.0;61298.0;ленинский;косметический;9;1993;9;Монолитный
https://domclick.ru/card/sale__flat__1619577950;3;3650000.0;68.0;40.0;53676.0;ленинский;Евро;5;1979;5;Панельный
https://domclick.ru/card/sale__flat__2059532946;2;3900000.0;49.9;35.0;78156.0;ленинский;Дизайнерский;1;1982;9;Панельный
https://domclick.ru/card/sale__flat__2058713102;1;4000000.0;38.9;17.0;102827.0;ленинский;Косметический;3;2014;12;Смешанные
https://domclick.ru/card/sale__flat__2058869105;2;3650000.0;50.1;29.5;72854.0;ленинский;Косметический;7;1982;9;Панельный
https://domclick.ru/card/sale__flat__2058742760;1;3100000.0;38.9;18.0;79691.0;ленинский;Дизайнерский;9;2015;15;Кирпичный
https://domclick.ru/card/sale__flat__2059528608;1;4450000.0;45.0;18.0;98888.0;ленинский;Евро;14;2018;15;Монолитный
https://domclick.ru/card/sale__flat__2054482691;3;5150000.0;67.1;42.4;76751.0;ленинский;Евро;4;1984;9;Панельный
https://domclick.ru/card/sale__flat__2056598990;1;3570000.0;46.0;18.0;77608.0;ленинский;Косметический;13;2009;17;Смешанные
https://domclick.ru/card/sale__flat__2055789825;2;5090000.0;59.3;35.0;85834.0;ленинский;Евро;5;2011;14;Смешанные
https://domclick.ru/card/sale__flat__2058201574;1;3500000.0;47.0;27.0;74468.0;ленинский;косметический;1;2009;17;Смешанные
https://domclick.ru/card/sale__flat__1703739225;1;3382500.0;45.1;17.0;75000.0;ленинский;Без ремонта;2;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__2058012810;1;3560000.0;36.6;20.0;97267.0;ленинский;Евро;11;2015;17;Панельный
https://domclick.ru/card/sale__flat__2056469364;2;7200000.0;69.0;45.0;104347.0;ленинский;евроремонт;11;2016;20;Смешанные
https://domclick.ru/card/sale__flat__2058926907;3;4000000.0;60.2;37.2;66445.0;ленинский;Без ремонта;7;1975;9;Кирпичный
https://domclick.ru/card/sale__flat__2011921521;1;3650000.0;36.6;14.0;99726.0;ленинский;Евро;8;2016;17;Панельный
https://domclick.ru/card/sale__flat__2059292222;2;3130000.0;43.0;13.0;72790.0;ленинский;Косметический;6;2015;10;Панельный
https://domclick.ru/card/sale__flat__2059217629;2;6250000.0;57.2;31.1;109265.0;ленинский;Евро;6;2007;16;Смешанные
https://domclick.ru/card/sale__flat__2058252023;1;1200000.0;15.7;9.0;76433.0;ленинский;Требует ремонта;2;1917;3;Кирпичный
https://domclick.ru/card/sale__flat__1965334720;2;5415200.0;66.6;31.0;81309.0;ленинский;Без ремонта;5;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__2057159244;4;3599999.0;62.0;48.0;58064.0;промышленный;Косметический;5;1973;5;Кирпичный
https://domclick.ru/card/sale__flat__2056413790;2;3835200.0;56.4;31.0;68000.0;промышленный;Без ремонта;15;2024;17;Панельный
https://domclick.ru/card/sale__flat__2059080335;2;2999999.0;47.5;31.0;63157.0;промышленный;Косметический;2;1978;5;Панельный
https://domclick.ru/card/sale__flat__1976033106;2;2750000.0;44.3;30.0;62076.0;промышленный;косметический;2;1976;5;Панельный
https://domclick.ru/card/sale__flat__1769313534;2;4800000.0;55.0;30.0;87272.0;промышленный;Косметический;1;2018;19;Панельный
https://domclick.ru/card/sale__flat__2057016920;2;3699000.0;45.4;30.0;81475.0;промышленный;Евро;2;2018;15;Панельный
https://domclick.ru/card/sale__flat__2057033989;3;2849000.0;56.6;46.0;50335.0;промышленный;Косметический;4;1967;5;Кирпичный
https://domclick.ru/card/sale__flat__2056442934;1;2650000.0;32.9;17.2;80547.0;промышленный;Косметический;1;1988;9;Панельный
https://domclick.ru/card/sale__flat__2059146548;1;2993000.0;36.5;16.2;82000.0;промышленный;Без ремонта;21;2023;24;Панельный
https://domclick.ru/card/sale__flat__2058251918;2;6499000.0;60.0;40.0;108316.0;промышленный;евроремонт;11;2012;12;Кирпичный
https://domclick.ru/card/sale__flat__1703780191;1;2952000.0;41.0;14.5;72000.0;промышленный;Без ремонта;8;2024;17;Панельный
https://domclick.ru/card/sale__flat__2056939656;3;9088000.0;108.2;80.0;83992.0;промышленный;Без ремонта;4;2023;4;Кирпичный
https://domclick.ru/card/sale__flat__2056848291;1;3650000.0;36.0;18.0;101388.0;промышленный;косметический;4;2015;19;Смешанные
https://domclick.ru/card/sale__flat__2059488956;1;1600000.0;30.0;28.0;53333.0;промышленный;Косметический;5;1975;6;Монолитный
https://domclick.ru/card/sale__flat__2057681182;2;2236000.0;44.8;28.0;49910.0;промышленный;Косметический;5;1963;5;Кирпичный
https://domclick.ru/card/sale__flat__2058365709;3;5150000.0;73.4;51.0;70163.0;промышленный;Требует ремонта;1;1959;3;Кирпичный
https://domclick.ru/card/sale__flat__2059528494;1;2030000.0;31.0;18.0;65483.0;промышленный;Евро;5;1967;5;Кирпичный
https://domclick.ru/card/sale__flat__2057162511;2;5650000.0;57.0;36.0;99122.0;промышленный;Дизайнерский;8;2015;12;Кирпичный
https://domclick.ru/card/sale__flat__2059577773;1;3890000.0;35.5;20.0;109577.0;промышленный;Евро;17;2014;17;Кирпичный
https://domclick.ru/card/sale__flat__2059400694;1;4400000.0;45.3;19.2;97130.0;промышленный;Дизайнерский;2;2006;10;Кирпичный
https://domclick.ru/card/sale__flat__2058456509;3;5090000.0;76.2;43.0;66797.0;промышленный;Требует ремонта;4;2024;4;Кирпичный
https://domclick.ru/card/sale__flat__2058285144;1;2900000.0;40.3;20.0;71960.0;промышленный;Требует ремонта;2;1996;9;Кирпичный
https://domclick.ru/card/sale__flat__2059143966;3;4895400.0;79.6;47.1;61500.0;промышленный;Без ремонта;14;2023;24;Панельный
https://domclick.ru/card/sale__flat__2058792773;1;4099999.0;33.2;22.0;123493.0;промышленный;Дизайнерский;13;2019;17;Панельный
https://domclick.ru/card/sale__flat__2059280675;2;2650000.0;44.0;30.0;60227.0;промышленный;косметический;4;1976;5;Панельный
https://domclick.ru/card/sale__flat__2058994340;1;2300000.0;31.0;18.0;74193.0;промышленный;Косметический;3;1992;5;Кирпичный
https://domclick.ru/card/sale__flat__2059371213;1;3800000.0;37.4;19.2;101604.0;промышленный;Евро;7;1983;9;Панельный
https://domclick.ru/card/sale__flat__2059407654;1;500000.0;10.8;8.2;46296.0;промышленный;Без ремонта;1;1936;2;Кирпичный
https://domclick.ru/card/sale__flat__2058668216;1;2500000.0;32.0;22.0;78125.0;промышленный;Косметический;4;1993;5;Кирпичный
https://domclick.ru/card/sale__flat__2056626548;2;3199000.0;43.9;34.0;72870.0;промышленный;Косметический;5;1971;5;Панельный
https://domclick.ru/card/sale__flat__2058745044;2;3070000.0;53.7;30.0;57169.0;промышленный;Евро;5;1987;5;Кирпичный
https://domclick.ru/card/sale__flat__2059048571;1;1850000.0;30.6;20.0;60457.0;промышленный;Косметический;4;1962;4;Кирпичный
https://domclick.ru/card/sale__flat__2056899470;2;3300000.0;53.0;33.0;62264.0;промышленный;Косметический;2;1979;5;Панельный
https://domclick.ru/card/sale__flat__2059027962;1;3100000.0;37.5;19.0;82666.0;промышленный;Без ремонта;13;2024;17;Панельный
https://domclick.ru/card/sale__flat__1953330128;2;2350000.0;42.0;29.0;55952.0;промышленный;Косметический;4;1967;5;Кирпичный
https://domclick.ru/card/sale__flat__1921012810;3;3300000.0;62.6;36.0;52715.0;промышленный;Косметический;2;1938;4;Кирпичный
https://domclick.ru/card/sale__flat__2059107973;2;3650000.0;53.0;35.0;68867.0;промышленный;Косметический;1;1984;6;Кирпичный
https://domclick.ru/card/sale__flat__1950113421;2;2800000.0;52.6;28.8;53231.0;промышленный;косметический;2;1958;3;Кирпичный
https://domclick.ru/card/sale__flat__2059377865;3;6990000.0;83.6;51.4;83612.0;промышленный;Евро;1;2007;9;Кирпичный
https://domclick.ru/card/sale__flat__2057639342;2;3570000.0;53.3;38.0;66979.0;промышленный;Косметический;8;1988;10;Панельный
https://domclick.ru/card/sale__flat__2059226149;3;2600000.0;55.0;38.0;47272.0;промышленный;Косметический;2;1971;5;Кирпичный
https://domclick.ru/card/sale__flat__1703785854;1;2966400.0;41.2;18.0;72000.0;промышленный;Без ремонта;15;2024;17;Панельный
https://domclick.ru/card/sale__flat__2059434936;1;1950000.0;33.7;23.0;57863.0;промышленный;Требует ремонта;2;1958;2;Кирпичный
https://domclick.ru/card/sale__flat__2059208808;2;2999999.0;48.5;15.4;61855.0;промышленный;Без ремонта;4;1982;5;Кирпичный
https://domclick.ru/card/sale__flat__2058251914;3;4799000.0;76.0;52.0;63144.0;промышленный;Дизайнерский;3;1956;4;Кирпичный
https://domclick.ru/card/sale__flat__2057645107;2;2550000.0;39.7;23.5;64231.0;промышленный;Косметический;1;1972;4;Кирпичный
https://domclick.ru/card/sale__flat__1703790547;1;3295600.0;42.8;15.8;77000.0;промышленный;Без ремонта;17;2024;17;Панельный
https://domclick.ru/card/sale__flat__2059225100;3;10300000.0;89.2;54.5;115470.0;промышленный;Дизайнерский;3;2017;18;Железобетон
https://domclick.ru/card/sale__flat__2057775866;2;3230000.0;51.0;32.0;63333.0;промышленный;Евро;5;1992;5;Кирпичный
https://domclick.ru/card/sale__flat__2056153554;1;1620000.0;21.0;15.0;77142.0;промышленный;Косметический;2;1984;9;Кирпичный
https://domclick.ru/card/sale__flat__2059249731;2;3200000.0;41.2;27.0;77669.0;промышленный;косметический;5;1964;5;Панельный
https://domclick.ru/card/sale__flat__2059585914;3;5800000.0;70.0;38.0;82857.0;промышленный;Евро;2;1997;9;Кирпичный
https://domclick.ru/card/sale__flat__2059434938;3;5500000.0;79.0;53.8;69620.0;промышленный;Требует ремонта;4;1967;1;Блочный
https://domclick.ru/card/sale__flat__1703790716;3;4956000.0;82.6;52.0;60000.0;промышленный;Без ремонта;21;2024;17;Панельный
https://domclick.ru/card/sale__flat__2058349840;2;3250000.0;44.2;30.0;73529.0;промышленный;Евро;5;1971;5;Панельный
https://domclick.ru/card/sale__flat__1703786109;2;3839550.0;59.1;29.0;65000.0;промышленный;Без ремонта;14;2024;17;Панельный
https://domclick.ru/card/sale__flat__2058700763;1;2720000.0;37.5;20.6;72533.0;промышленный;Требует ремонта;4;1976;5;Панельный
https://domclick.ru/card/sale__flat__2058361150;3;8100000.0;111.3;60.5;72776.0;промышленный;Дизайнерский;12;2012;12;Кирпичный
https://domclick.ru/card/sale__flat__2057878270;2;2700000.0;43.9;33.0;61503.0;промышленный;косметический;2;1971;5;Панельный
https://domclick.ru/card/sale__flat__2059288535;2;2590000.0;45.0;30.0;57555.0;промышленный;косметический;4;1970;5;Панельный
https://domclick.ru/card/sale__flat__2059481000;1;5550000.0;52.0;17.0;106730.0;промышленный;косметический;4;2010;9;Кирпичный
https://domclick.ru/card/sale__flat__2058517297;2;6250000.0;59.3;35.0;105396.0;промышленный;Дизайнерский;8;2012;12;Кирпичный
https://domclick.ru/card/sale__flat__1703790758;2;3283800.0;42.1;14.0;78000.0;промышленный;Без ремонта;24;2024;17;Панельный
https://domclick.ru/card/sale__flat__2058274916;1;2750000.0;34.7;20.0;79250.0;промышленный;Косметический;8;2023;18;Панельный
https://domclick.ru/card/sale__flat__2059561203;1;3850000.0;38.8;30.2;99226.0;промышленный;Дизайнерский;13;2023;24;Панельный
https://domclick.ru/card/sale__flat__2006180903;2;2380000.0;40.8;27.3;58333.0;промышленный;Косметический;2;1965;5;Кирпичный
https://domclick.ru/card/sale__flat__2056004655;3;3280000.0;55.1;48.0;59528.0;промышленный;Косметический;9;1973;10;Кирпичный
https://domclick.ru/card/sale__flat__2058251937;2;3950000.0;53.0;29.8;74528.0;промышленный;евроремонт;1;1988;9;Панельный
https://domclick.ru/card/sale__flat__2059260025;2;3170000.0;44.0;19.0;72045.0;промышленный;Без ремонта;14;2024;17;Панельный
https://domclick.ru/card/sale__flat__2057651145;1;1750000.0;34.0;15.0;51470.0;промышленный;Косметический;7;1982;9;Кирпичный
https://domclick.ru/card/sale__flat__2057832075;1;2250000.0;36.0;17.6;62500.0;промышленный;Отсутствует;9;2019;9;Кирпичный
https://domclick.ru/card/sale__flat__2059409165;1;950000.0;19.5;17.1;48717.0;промышленный;Дизайнерский;1;1936;2;Кирпичный
https://domclick.ru/card/sale__flat__2059283477;4;5200000.0;110.0;55.0;47272.0;промышленный;Косметический;1;1975;1;Кирпичный
https://domclick.ru/card/sale__flat__1734653220;1;3950000.0;42.3;25.8;93380.0;промышленный;косметический;6;2012;12;Кирпичный
https://domclick.ru/card/sale__flat__2059267235;2;3290000.0;53.3;31.0;61726.0;промышленный;косметический;7;1989;9;Панельный
https://domclick.ru/card/sale__flat__2059077903;1;3880000.0;35.4;15.5;109604.0;промышленный;Евро;9;2019;19;Панельный
https://domclick.ru/card/sale__flat__2056433017;4;4700000.0;74.3;64.3;63257.0;промышленный;косметический;1;1998;9;Кирпичный
https://domclick.ru/card/sale__flat__2059553469;4;4700000.0;60.7;44.4;77429.0;промышленный;Евро;4;1975;5;Железобетон
https://domclick.ru/card/sale__flat__1873089273;4;3000000.0;61.0;45.4;49180.0;промышленный;косметический;5;1969;5;Кирпичный
https://domclick.ru/card/sale__flat__2056778525;2;2180000.0;47.8;32.0;45606.0;промышленный;Требует ремонта;2;1959;3;Кирпичный
https://domclick.ru/card/sale__flat__2057438851;3;3399000.0;60.0;53.0;56650.0;промышленный;Косметический;4;1970;5;Кирпичный
https://domclick.ru/card/sale__flat__2059204957;2;5200000.0;57.6;36.0;90277.0;промышленный;Дизайнерский;2;2010;5;Кирпичный
https://domclick.ru/card/sale__flat__2059027727;1;3450000.0;39.5;20.0;87341.0;промышленный;Дизайнерский;13;2024;17;Панельный
https://domclick.ru/card/sale__flat__2058243180;2;2150000.0;42.4;28.4;50707.0;промышленный;Косметический;3;1975;5;Кирпичный
https://domclick.ru/card/sale__flat__1907291475;2;4750000.0;60.8;40.0;78125.0;промышленный;Дизайнерский;12;2017;19;Кирпичный
https://domclick.ru/card/sale__flat__2056163494;2;3400000.0;54.0;35.0;62962.0;промышленный;косметический;2;1989;9;Панельный
https://domclick.ru/card/sale__flat__2056545413;1;3550000.0;44.0;19.8;80681.0;промышленный;евроремонт;8;2024;17;Панельный
https://domclick.ru/card/sale__flat__2058663061;1;2670000.0;34.8;15.0;76724.0;промышленный;Без ремонта;6;2023;24;Панельный
https://domclick.ru/card/sale__flat__1703785259;1;2837520.0;39.4;19.0;72018.0;промышленный;Без ремонта;11;2024;17;Панельный
https://domclick.ru/card/sale__flat__2008213583;3;3000000.0;41.2;28.0;72815.0;промышленный;евроремонт;5;1961;5;Кирпичный
https://domclick.ru/card/sale__flat__2058849518;1;3570000.0;33.1;16.3;107854.0;промышленный;Евро;12;2017;17;Монолитный
https://domclick.ru/card/sale__flat__2056480120;2;3170000.0;48.1;24.8;65904.0;промышленный;косметический;16;2024;23;Панельный
https://domclick.ru/card/sale__flat__2059453408;2;2200000.0;30.8;22.0;71428.0;промышленный;Косметический;3;1970;5;Панельный
https://domclick.ru/card/sale__flat__2058945432;1;2430000.0;28.9;16.0;84083.0;промышленный;Косметический;1;1968;5;Кирпичный
https://domclick.ru/card/sale__flat__2059226114;2;2899000.0;39.9;30.0;72656.0;промышленный;Косметический;3;1970;5;Кирпичный
https://domclick.ru/card/sale__flat__2059231329;1;2500000.0;44.0;18.0;56818.0;промышленный;Без ремонта;1;2019;9;Кирпичный
https://domclick.ru/card/sale__flat__2055959214;4;13350000.0;127.7;73.0;104541.0;промышленный;Дизайнерский;3;2003;4;Кирпичный
https://domclick.ru/card/sale__flat__1703787579;3;4220000.0;70.3;55.0;60002.0;промышленный;Без ремонта;4;2024;17;Панельный
https://domclick.ru/card/sale__flat__2058276942;2;5999000.0;72.0;40.0;83319.0;промышленный;Евро;12;2017;19;Панельный
https://domclick.ru/card/sale__flat__2059280676;1;2800000.0;50.0;30.0;56000.0;промышленный;Требует ремонта;2;2025;2;Монолитный
https://domclick.ru/card/sale__flat__2057722662;3;4500000.0;65.0;40.0;69230.0;промышленный;косметический;6;1998;10;Панельный
https://domclick.ru/card/sale__flat__2059558927;1;2190000.0;29.0;18.0;75517.0;промышленный;Косметический;9;1982;9;Кирпичный
https://domclick.ru/card/sale__flat__2058825929;1;2050000.0;35.0;19.0;58571.0;промышленный;Косметический;3;2013;3;Блочный
https://domclick.ru/card/sale__flat__2059076145;2;3120000.0;44.9;31.6;69487.0;промышленный;Евро;2;1964;5;Панельный
https://domclick.ru/card/sale__flat__2059527467;2;3700000.0;44.5;22.0;83146.0;промышленный;Евро;4;1983;9;Кирпичный
https://domclick.ru/card/sale__flat__1891161881;1;2909600.0;43.9;21.3;66277.0;промышленный;Требует ремонта;3;2020;3;Блочный
https://domclick.ru/card/sale__flat__2058787055;1;1399000.0;30.0;14.2;46633.0;промышленный;косметический;2;1949;2;Кирпичный
https://domclick.ru/card/sale__flat__2056737941;1;2890000.0;33.0;18.0;87575.0;промышленный;Евро;9;1973;9;Кирпичный
https://domclick.ru/card/sale__flat__1961024210;1;2799000.0;39.7;19.0;70503.0;промышленный;Отсутствует;5;2024;17;Панельный
https://domclick.ru/card/sale__flat__2056833938;2;3200000.0;53.0;23.0;60377.0;промышленный;Без ремонта;5;1979;5;Панельный
https://domclick.ru/card/sale__flat__2059259996;1;2830000.0;39.4;19.0;71809.0;промышленный;Без ремонта;11;2024;17;Панельный
https://domclick.ru/card/sale__flat__2059541443;2;3700000.0;49.8;30.0;74297.0;промышленный;Косметический;1;1983;9;Панельный
https://domclick.ru/card/sale__flat__2057909897;1;2450000.0;29.0;18.0;84482.0;промышленный;Косметический;3;1963;5;Кирпичный
https://domclick.ru/card/sale__flat__2056469664;1;1980000.0;30.0;18.0;66000.0;промышленный;Косметический;4;1965;5;Кирпичный
https://domclick.ru/card/sale__flat__2059248617;1;2350000.0;30.2;19.7;77814.0;промышленный;Косметический;4;1972;6;Панельный
https://domclick.ru/card/sale__flat__2056936326;2;7180000.0;71.1;42.5;100984.0;центральный;евроремонт;5;2011;5;Кирпичный
https://domclick.ru/card/sale__flat__1818006376;2;1890000.0;40.0;24.0;47250.0;центральный;косметический;1;2002;1;Монолитный
https://domclick.ru/card/sale__flat__1850332840;2;1700000.0;30.0;27.0;56666.0;центральный;косметический;3;1975;5;Кирпичный
https://domclick.ru/card/sale__flat__2056562243;2;5300000.0;54.0;36.0;98148.0;центральный;Косметический;6;2015;17;Блочный
https://domclick.ru/card/sale__flat__2058835952;1;1850000.0;30.2;18.1;61258.0;центральный;Косметический;2;1958;3;Кирпичный
https://domclick.ru/card/sale__flat__2058809337;2;3100000.0;45.0;36.0;68888.0;центральный;Косметический;4;1967;5;Панельный
https://domclick.ru/card/sale__flat__2059528331;2;1500000.0;22.0;19.0;68181.0;центральный;Косметический;3;1974;5;Кирпичный
https://domclick.ru/card/sale__flat__2058837650;2;7200000.0;63.0;25.0;114285.0;центральный;Без ремонта;8;2023;14;Монолитный
https://domclick.ru/card/sale__flat__2057639318;1;2600000.0;32.7;25.0;79510.0;центральный;Требует ремонта;2;1969;5;Кирпичный
https://domclick.ru/card/sale__flat__2058366519;3;2490000.0;41.1;29.0;60583.0;центральный;Требует ремонта;2;1961;5;Кирпичный
https://domclick.ru/card/sale__flat__2057267090;1;3820000.0;39.9;16.9;95739.0;центральный;Евро;8;2008;10;Кирпичный
https://domclick.ru/card/sale__flat__1732454005;2;4899000.0;70.0;34.0;69985.0;центральный;косметический;10;2008;10;Кирпичный
https://domclick.ru/card/sale__flat__2058346213;2;2690000.0;41.4;27.0;64975.0;центральный;косметический;1;1966;5;Кирпичный
https://domclick.ru/card/sale__flat__2059178571;1;3980000.0;41.9;14.4;94988.0;центральный;Без ремонта;7;2019;11;Монолитно-кирпичный
https://domclick.ru/card/sale__flat__2058311218;2;5300000.0;55.1;30.5;96241.0;центральный;евроремонт;6;2019;19;Монолитно-кирпичный
https://domclick.ru/card/sale__flat__2045077471;1;3997500.0;52.0;18.0;76875.0;центральный;Без ремонта;5;2023;17;Кирпичный
https://domclick.ru/card/sale__flat__2056308495;3;5800000.0;62.0;28.0;93548.0;центральный;Евро;13;2024;18;Панельный
https://domclick.ru/card/sale__flat__2059113279;3;7960000.0;102.6;42.4;77582.0;центральный;Без ремонта;7;2019;11;Монолитно-кирпичный
https://domclick.ru/card/sale__flat__1988029240;1;630000.0;21.0;9.0;30000.0;центральный;Косметический;1;1917;2;Смешанные
https://domclick.ru/card/sale__flat__2059337670;2;2350000.0;46.2;29.0;50865.0;центральный;косметический;1;1917;2;Смешанные
https://domclick.ru/card/sale__flat__2059049930;1;4470000.0;38.0;20.4;117631.0;центральный;Евро;3;2018;4;Кирпичный
https://domclick.ru/card/sale__flat__2058720820;2;3100000.0;40.2;25.3;77114.0;центральный;Косметический ремонт;5;1961;5;Кирпичный
https://domclick.ru/card/sale__flat__2059383161;2;3299000.0;42.5;32.0;77623.0;центральный;косметический;3;1971;5;Панельный
https://domclick.ru/card/sale__flat__2058910193;2;3850000.0;47.3;32.0;81395.0;центральный;Евро;3;1968;5;Панельный
https://domclick.ru/card/sale__flat__2058199941;1;4500000.0;47.8;17.5;94142.0;центральный;евроремонт;7;2017;19;Монолитный
https://domclick.ru/card/sale__flat__2057223890;1;6000000.0;50.2;25.0;119521.0;центральный;Дизайнерский;2;2019;4;Кирпичный
https://domclick.ru/card/sale__flat__2057410325;1;3550000.0;36.9;18.0;96205.0;центральный;Евро;7;2017;19;Монолитный
https://domclick.ru/card/sale__flat__1937874920;3;7999999.0;88.3;52.3;90600.0;центральный;Дизайнерский;13;2014;18;Кирпичный
https://domclick.ru/card/sale__flat__2058712505;2;3400000.0;39.0;16.0;87179.0;центральный;Косметический;3;1964;3;Кирпичный
https://domclick.ru/card/sale__flat__2059500938;2;3200000.0;44.0;30.0;72727.0;центральный;евроремонт;5;1970;5;Панельный
https://domclick.ru/card/sale__flat__2058251244;2;3400000.0;45.7;28.5;74398.0;центральный;Косметический;4;1959;4;Кирпичный
https://domclick.ru/card/sale__flat__2056765418;4;6450000.0;120.2;45.0;53660.0;центральный;косметический;1;1956;3;Кирпичный
https://domclick.ru/card/sale__flat__2058498339;1;5800000.0;34.0;12.0;170588.0;центральный;Евро;3;2023;14;Монолитный
https://domclick.ru/card/sale__flat__2056097125;3;3500000.0;58.1;41.7;60240.0;центральный;Евро;3;1969;5;Панельный
https://domclick.ru/card/sale__flat__2059037851;3;7550000.0;74.0;62.0;102027.0;центральный;Евро;4;2015;18;Монолитный
https://domclick.ru/card/sale__flat__2059049711;1;3400000.0;39.0;30.0;87179.0;центральный;Косметический;1;1998;10;Панельный
https://domclick.ru/card/sale__flat__2059194934;1;4500000.0;46.5;21.0;96774.0;центральный;Евро;10;2015;18;Монолитный
https://domclick.ru/card/sale__flat__2058116787;3;7500000.0;73.3;60.0;102319.0;центральный;Косметический;1;2015;14;Кирпичный
https://domclick.ru/card/sale__flat__1969241774;3;2499000.0;44.3;31.5;56410.0;центральный;косметический;1;1971;5;Панельный
https://domclick.ru/card/sale__flat__2055980527;3;2000000.0;48.9;27.3;40899.0;центральный;Косметический;2;1917;2;Блочный
https://domclick.ru/card/sale__flat__2056571179;3;2790000.0;43.1;19.6;64733.0;центральный;Требует ремонта;4;1964;4;Кирпичный
https://domclick.ru/card/sale__flat__2058842497;3;5900000.0;65.0;42.0;90769.0;центральный;Евро;3;1982;9;Панельный
https://domclick.ru/card/sale__flat__2058262618;3;5050000.0;63.3;50.0;79778.0;центральный;Косметический;1;1998;10;Панельный
https://domclick.ru/card/sale__flat__2059558557;2;3000000.0;44.0;30.0;68181.0;центральный;Косметический;4;1969;5;Панельный
https://domclick.ru/card/sale__flat__2057166417;1;3700000.0;42.3;20.0;87470.0;центральный;Косметический;2;2017;11;Монолитный
https://domclick.ru/card/sale__flat__2059479302;3;4350000.0;61.1;44.7;71194.0;центральный;косметический;3;1967;5;Панельный
https://domclick.ru/card/sale__flat__2059027486;3;2700000.0;79.4;60.0;34005.0;центральный;Косметический;2;1957;2;Кирпичный
https://domclick.ru/card/sale__flat__2059557169;3;6100000.0;60.4;43.8;100993.0;центральный;Евро;6;1970;9;Кирпичный
https://domclick.ru/card/sale__flat__2059087076;3;2800000.0;48.0;33.2;58333.0;центральный;Косметический;5;1968;5;Панельный
